place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJOUZ4Sh69akARNaMxre-wr80,The Green Bean Cascade,,False,472,"Name: Coffeeshop Company
link: https://www.google.com/maps/search/Coffeeshop+Company/@40.182456599999995,44.5156776?authuser=0&hl=zh-TW&entry=ttu
Reviews: 194 reviews

Name: Segafredo
link: https://www.google.com/maps/search/Segafredo/@40.1818819,44.5144533?authuser=0&hl=zh-TW&entry=ttu
Reviews: 142 reviews

Name: Caffe Vergnano 1882
link: https://www.google.com/maps/search/Caff%C3%A8+Vergnano+1882/@40.182649,44.515367?authuser=0&hl=zh-TW&entry=ttu
Reviews: 87 reviews

Name: Nero Bean Coffee Roastery
link: https://www.google.com/maps/search/Nero+Bean+Coffee+Roastery/@40.176100399999996,44.5111214?authuser=0&hl=zh-TW&entry=ttu
Reviews: 65 reviews",https://www.facebook.com/thegreenbeancascade,The Green Bean Cascade (Ye Zhu ),https://www.google.com/maps/contrib/100023292023800764327,https://lh5.googleusercontent.com/p/AF1QipMJbImWg8MTwLlZfPB2TC-JWagkQSpT2vFIe2w3=w426-h240-k-no,Ka Pei Ting ,"Ka Pei Ting , Ka Pei Dian ",4.5,08:30-00:00,Open All Days,+374 55 529277,"The Green Bean Cascade, 38 Isahakyan St, Yerevan, Ya Mei Ni Ya ","atmosphere, Wu Can , Chou Yan , vegan, Guo Zhi , Song Bing , Bei Guo , Jian Kang Yin Shi , Sha La , Yi Da Li Mian ",https://www.google.com/maps/place/The+Green+Bean+Cascade/data=!4m7!3m6!1s0x406abd1e4a784639:0xcdafb0efad31a335!8m2!3d40.1894379!4d44.5158535!16s%2Fg%2F11b5pj9c7g!19sChIJOUZ4Sh69akARNaMxre-wr80?authuser=0&hl=zh-TW&rclk=1
ChIJ2fty5Pu8akARqMgtC2a2bcI,Coffeeshop Company Yerevan,,False,372,"Name: Crumbs Bread Factory/Cafe
link: https://www.google.com/maps/search/Crumbs+Bread+Factory%2FCafe/@40.186280499999995,44.5136989?authuser=0&hl=zh-TW&entry=ttu
Reviews: 247 reviews

Name: Cafe Central
link: https://www.google.com/maps/search/Cafe+Central/@40.1848946,44.5206642?authuser=0&hl=zh-TW&entry=ttu
Reviews: 234 reviews

Name: Caffe Vergnano 1882
link: https://www.google.com/maps/search/Caff%C3%A8+Vergnano+1882/@40.182649,44.515367?authuser=0&hl=zh-TW&entry=ttu
Reviews: 87 reviews

Name: Coffee House City Aram
link: https://www.google.com/maps/search/Coffee+House+City+Aram/@40.18129,44.508536299999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 49 reviews

Name: Mon cafe
link: https://www.google.com/maps/search/Mon+caf%C3%A9/@40.1795829,44.5102635?authuser=0&hl=zh-TW&entry=ttu
Reviews: 39 reviews",http://www.coffeeshopcompany.com/,Coffeeshop Company Yerevan (Ye Zhu ),https://www.google.com/maps/contrib/116028301896142913606,https://lh5.googleusercontent.com/p/AF1QipMTLyPMig7lrliHsfIqZIOSlP4kt9ID_vONJME2=w408-h544-k-no,Ka Pei Dian ,"Ka Pei Dian , Ka Pei Ting ",4.2,24 Xiao Shi Ying Ye ,Open All Days,+374 11 263333,"5, Coffeeshop Company Yerevan, 4 Amiryan St, Yerevan 0010Ya Mei Ni Ya ","Jia Ge , Zao Can , atmosphere, Chou Yan , Na Tie , Dan Gao , Ke Song , Xuan Ze , Wang Lu ",https://www.google.com/maps/place/Coffeeshop+Company+Yerevan/data=!4m7!3m6!1s0x406abcfbe472fbd9:0xc26db6660b2dc8a8!8m2!3d40.1789832!4d44.5107838!16s%2Fg%2F11bxvgrlbn!19sChIJ2fty5Pu8akARqMgtC2a2bcI?authuser=0&hl=zh-TW&rclk=1
ChIJ35K8sx29akARhcMW3m-6_rE,Jazzve Cafe,,False,341,"Name: Cafe Aznavour
link: https://www.google.com/maps/search/Cafe+Aznavour/@40.2043311,44.5170977?authuser=0&hl=zh-TW&entry=ttu
Reviews: 131 reviews

Name: Achajour
link: https://www.google.com/maps/search/Achajour/@40.185263,44.510948?authuser=0&hl=zh-TW&entry=ttu
Reviews: 85 reviews

Name: Wine by Jazzve
link: https://www.google.com/maps/search/Wine+by+Jazzve/@40.1867575,44.5110917?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",http://jazzve.am/,Jazzve Cafe (Ye Zhu ),https://www.google.com/maps/contrib/115574678968584386275,https://lh5.googleusercontent.com/p/AF1QipNH-iCnoJRlE6fi_OIVyHT8hUGbeGS_6fdlaBHJ=w426-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,3.7,10:00-00:00,Open All Days,+374 95 559903,"Jazzve Cafe, Tumanyan St, Yerevan, Ya Mei Ni Ya ","Ke Fu , Jia Ge , atmosphere, Fa Piao , star, Qian , Chu Fang ",https://www.google.com/maps/place/Jazzve+Cafe/data=!4m7!3m6!1s0x406abd1db3bc92df:0xb1feba6fde16c385!8m2!3d40.1852216!4d44.5142032!16s%2Fg%2F1tdq4hg4!19sChIJ35K8sx29akARhcMW3m-6_rE?authuser=0&hl=zh-TW&rclk=1
ChIJY24q6Gy9akARt-2Bngw0TZE,AfroLab Roastery,,False,244,"Name: Lumen Coffee
link: https://www.google.com/maps/search/Lumen+Coffee/@40.181810899999995,44.5122791?authuser=0&hl=zh-TW&entry=ttu
Reviews: 276 reviews

Name: Hayk Coffee Roasters
link: https://www.google.com/maps/search/Hayk+Coffee+Roasters/@40.187247299999996,44.508826899999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 107 reviews

Name: Haldi.Co
link: https://www.google.com/maps/search/Haldi.Co/@40.1891698,44.5193498?authuser=0&hl=zh-TW&entry=ttu
Reviews: 67 reviews

Name: Nero Bean Coffee Roastery
link: https://www.google.com/maps/search/Nero+Bean+Coffee+Roastery/@40.176100399999996,44.5111214?authuser=0&hl=zh-TW&entry=ttu
Reviews: 65 reviews

Name: MyCar AM
link: https://www.google.com/maps/search/MyCar+AM/@40.1833163,44.5114488?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.collective.am/,AfroLab Roastery (Ye Zhu ),https://www.google.com/maps/contrib/107518910286712584931,https://lh5.googleusercontent.com/p/AF1QipNTGbcWlprT93naCd_D07IhwXB-jmnc-Msc8ahK=w408-h306-k-no,Ka Pei Dian ,"Ka Pei Dian , Ka Pei Hong Bei Shang ",4.5,08:00-02:00,Open All Days,+374 11 995599,"AfroLab Roastery, 40 Pushkin St, Yerevan 0010Ya Mei Ni Ya ","espresso, atmosphere, Zhuo , Yin Le , Liang Shi , Wai Dai , Dou , Han Bao ",https://www.google.com/maps/place/AfroLab+Roastery/data=!4m7!3m6!1s0x406abd6ce82a6e63:0x914d340c9e81edb7!8m2!3d40.1826419!4d44.5130054!16s%2Fg%2F11hjcptb88!19sChIJY24q6Gy9akARt-2Bngw0TZE?authuser=0&hl=zh-TW&rclk=1
ChIJt1oLtvu8akARzRS0hvj5jr0,Jazzve Srcharan,,False,240,"Name: Jazzve Cafe
link: https://www.google.com/maps/search/Jazzve+Cafe/@40.1852216,44.5142032?authuser=0&hl=zh-TW&entry=ttu
Reviews: 341 reviews

Name: Segafredo
link: https://www.google.com/maps/search/Segafredo/@40.1818819,44.5144533?authuser=0&hl=zh-TW&entry=ttu
Reviews: 142 reviews

Name: Cafe Aznavour
link: https://www.google.com/maps/search/Cafe+Aznavour/@40.2043311,44.5170977?authuser=0&hl=zh-TW&entry=ttu
Reviews: 131 reviews

Name: Caffe Vergnano 1882
link: https://www.google.com/maps/search/Caff%C3%A8+Vergnano+1882/@40.182649,44.515367?authuser=0&hl=zh-TW&entry=ttu
Reviews: 87 reviews

Name: Achajour
link: https://www.google.com/maps/search/Achajour/@40.185263,44.510948?authuser=0&hl=zh-TW&entry=ttu
Reviews: 85 reviews",http://jazzve.am/,Jazzve Srcharan (Ye Zhu ),https://www.google.com/maps/contrib/112835129477590669368,https://lh5.googleusercontent.com/p/AF1QipPjcFs2OWdTkv2XSpxBycJ34rl06NeV1ZXxWB19=w408-h272-k-no,Ka Pei Ting ,Ka Pei Ting ,3.7,10:00-00:00,Open All Days,+374 95 559909,"Jazzve Srcharan, 2 Abovyan St, Yerevan 0010Ya Mei Ni Ya ","Tian Dian , Jia Ge , Bai Pan , Qian , Shi Nei , Chu Shi , Ji Rou ",https://www.google.com/maps/place/%D5%8B%D5%A1%D5%A6%D5%A6%D5%BE%D5%A5+%D5%8D%D6%80%D5%B3%D5%A1%D6%80%D5%A1%D5%B6/data=!4m7!3m6!1s0x406abcfbb60b5ab7:0xbd8ef9f886b414cd!8m2!3d40.1792678!4d44.5138685!16s%2Fg%2F1pp2vdkq1!19sChIJt1oLtvu8akARzRS0hvj5jr0?authuser=0&hl=zh-TW&rclk=1
ChIJKxIRX-O8akAR2X73KXCxDb8,Coffeeshop Company,,False,194,"Name: Malocco
link: https://www.google.com/maps/search/Malocco/@40.188951,44.5150246?authuser=0&hl=zh-TW&entry=ttu
Reviews: 399 reviews

Name: Cafe Central
link: https://www.google.com/maps/search/Cafe+Central/@40.1848946,44.5206642?authuser=0&hl=zh-TW&entry=ttu
Reviews: 234 reviews

Name: Coffeestory
link: https://www.google.com/maps/search/Coffeestory/@40.180710499999996,44.5194605?authuser=0&hl=zh-TW&entry=ttu
Reviews: 156 reviews

Name: Coffee House City Aram
link: https://www.google.com/maps/search/Coffee+House+City+Aram/@40.18129,44.508536299999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 49 reviews

Name: Mon cafe
link: https://www.google.com/maps/search/Mon+caf%C3%A9/@40.1795829,44.5102635?authuser=0&hl=zh-TW&entry=ttu
Reviews: 39 reviews",http://coffeeshopcompany.com/,Coffeeshop Company (Ye Zhu ),https://www.google.com/maps/contrib/117303180429278394828,https://lh5.googleusercontent.com/p/AF1QipNYYN1MkH5QkzHIjS9ILXRQgX34GiAANm1FYyNE=w408-h305-k-no,Ka Pei Ting ,Ka Pei Ting ,4.5,08:30-02:00,Open All Days,+374 11 273333,"Coffeeshop Company, 2 Hin Yerevantsi St, Yerevan 0001Ya Mei Ni Ya ","atmosphere, Jia Ge , Tian Dian , Pin Zhi , Ke Fu , Chou Yan ",https://www.google.com/maps/place/Coffeeshop+Company/data=!4m7!3m6!1s0x406abce35f11122b:0xbf0db17029f77ed9!8m2!3d40.1824566!4d44.5156776!16s%2Fg%2F11cn9ljnzz!19sChIJKxIRX-O8akAR2X73KXCxDb8?authuser=0&hl=zh-TW&rclk=1
ChIJeeIMiIC9akARSNYB8Re17e8,Juli's,,False,180,"Name: Mon cafe
link: https://www.google.com/maps/search/Mon+caf%C3%A9/@40.1795829,44.5102635?authuser=0&hl=zh-TW&entry=ttu
Reviews: 39 reviews

Name: Coffee House NPUA
link: https://www.google.com/maps/search/Coffee+House+NPUA/@40.1898056,44.5232429?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: OG yvn
link: https://www.google.com/maps/search/OG+yvn/@40.1800846,44.5156426?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://instagram.com/julis.evn%3Figshid%3DY2IzZGU1MTFhOQ%3D%3D,Juli's (Ye Zhu ),https://www.google.com/maps/contrib/116915508476165882053,https://lh5.googleusercontent.com/p/AF1QipOh0eX4XCJqDg5KFeLjNyWzuIF1eX80hXxfgaKU=w408-h272-k-no,Ka Pei Ting ,Ka Pei Ting ,4.5,08:00-00:00,Open All Days,+374 55 511512,"Juli's, 39 Pushkin St, Yerevan 0002Ya Mei Ni Ya ","Tian Dian , atmosphere, Shi Nei , Gao , Song Bing , Bai Tian , Xuan Ze , She Ji , Qia Bu Qi Nuo ",https://www.google.com/maps/place/Juli%E2%80%99s/data=!4m7!3m6!1s0x406abd80880ce279:0xefedb517f101d648!8m2!3d40.1841534!4d44.5102165!16s%2Fg%2F11t9kzfjxy!19sChIJeeIMiIC9akARSNYB8Re17e8?authuser=0&hl=zh-TW&rclk=1
ChIJWQ4RieS8akARrFgu5I1shFo,Artbridge Bookstore Cafe,,False,163,"Name: Coffeestory
link: https://www.google.com/maps/search/Coffeestory/@40.180710499999996,44.5194605?authuser=0&hl=zh-TW&entry=ttu
Reviews: 156 reviews

Name: Achajour
link: https://www.google.com/maps/search/Achajour/@40.185263,44.510948?authuser=0&hl=zh-TW&entry=ttu
Reviews: 85 reviews

Name: Blueberry
link: https://www.google.com/maps/search/Blueberry/@40.181211,44.516152999999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 36 reviews

Name: Big Book
link: https://www.google.com/maps/search/Big+Book/@40.1822379,44.5249647?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews",http://artbridge.am/,Artbridge Bookstore Cafe (Ye Zhu ),https://www.google.com/maps/contrib/117412373295396552522,https://lh5.googleusercontent.com/p/AF1QipNu9rD9IQHFmCfY-a_YjNj3mXqeGZAPE4oLsOBH=w408-h320-k-no,Ka Pei Ting ,"Ka Pei Ting , Shu Dian ",4.5,08:30-00:00,Open All Days,+374 10 581284,"Artbridge Bookstore Cafe, 20 Abovyan St, Yerevan 0001Ya Mei Ni Ya ","Ban Shou Li , Jia Ge , Liao Li , Tang , Yang Cong , Fa Shi Tu Si , Xiang Zhen , Yin Le ",https://www.google.com/maps/place/Artbridge+Bookstore+Cafe/data=!4m7!3m6!1s0x406abce489110e59:0x5a846c8de42e58ac!8m2!3d40.1827285!4d44.5180833!16s%2Fg%2F1tdhchq1!19sChIJWQ4RieS8akARrFgu5I1shFo?authuser=0&hl=zh-TW&rclk=1
ChIJIRh0rOO8akAR5pC2w5BTGHM,Cafe Rich,,False,159,"Name: Like Cafe (Layk` Srcharan-Bar)
link: https://www.google.com/maps/search/Like+Cafe+%28%D4%BC%D5%A1%D5%B5%D6%84+%D5%8D%D6%80%D5%B3%D5%A1%D6%80%D5%A1%D5%B6-%D4%B2%D5%A1%D6%80%29/@40.1828739,44.5144105?authuser=0&hl=zh-TW&entry=ttu
Reviews: 54 reviews

Name: Mon cafe
link: https://www.google.com/maps/search/Mon+caf%C3%A9/@40.1795829,44.5102635?authuser=0&hl=zh-TW&entry=ttu
Reviews: 39 reviews

Name: Atmosphere Cafe
link: https://www.google.com/maps/search/Atmosphere+Cafe/@40.1846746,44.5147347?authuser=0&hl=zh-TW&entry=ttu
Reviews: 26 reviews

Name: Cafe La - See
link: https://www.google.com/maps/search/Cafe+La+-+See/@40.1864705,44.5126534?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews",https://m.facebook.com/CafeRichYerevan/,Cafe Rich (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNW2OIaFvsX2lnaU405uykxo6Xa9FCvwPqWqdah=w408-h544-k-no,Ka Pei Ting ,"Ka Pei Ting , Ka Pei Dian , Wi-Fi Re Dian ",2.9,10:30-01:00,Open All Days,+374 10 534506,"Cafe Rich, 38 Tumanyan St, Yerevan 0002Ya Mei Ni Ya ","Shui Yan , Jia Ge , atmosphere, Yin Le , Diao Jiu , Xiao Hai , Zhi Fu , Chu Fang , Sha La ",https://www.google.com/maps/place/Cafe+Rich/data=!4m7!3m6!1s0x406abce3ac741821:0x73185390c3b690e6!8m2!3d40.1846224!4d44.5153141!16s%2Fg%2F12ll1prmr!19sChIJIRh0rOO8akAR5pC2w5BTGHM?authuser=0&hl=zh-TW&rclk=1
ChIJD2-uWOW8akAR5jenGvW1Emw,Coffeestory,,False,156,"Name: Coffeeshop Company
link: https://www.google.com/maps/search/Coffeeshop+Company/@40.182456599999995,44.5156776?authuser=0&hl=zh-TW&entry=ttu
Reviews: 194 reviews

Name: Segafredo
link: https://www.google.com/maps/search/Segafredo/@40.1818819,44.5144533?authuser=0&hl=zh-TW&entry=ttu
Reviews: 142 reviews

Name: Coffee House City Aram
link: https://www.google.com/maps/search/Coffee+House+City+Aram/@40.18129,44.508536299999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 49 reviews

Name: Loft Cafe
link: https://www.google.com/maps/search/Loft+Cafe/@40.181332399999995,44.5145872?authuser=0&hl=zh-TW&entry=ttu
Reviews: 20 reviews",https://www.facebook.com/coffeestory.yerevan/,Coffeestory (Ye Zhu ),https://www.google.com/maps/contrib/115045052828452472574,https://lh5.googleusercontent.com/p/AF1QipMCa5zQk2E5B7BVjLgKtb9KWYRnCujvdnpfU2W8=w835-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.3,09:00-00:00,Open All Days,+374 11 440000,"Coffeestory, 98/9 Nalbandyan St, Yerevan, Ya Mei Ni Ya ","Chou Yan , atmosphere, Qi Lou , Sha La , Na Tie , Ning Meng Shui , Ru Luo Dan Gao , Xiao Hai , Jia Ge ",https://www.google.com/maps/place/Coffeestory/data=!4m7!3m6!1s0x406abce558ae6f0f:0x6c12b5f51aa737e6!8m2!3d40.1807105!4d44.5194605!16s%2Fg%2F11b5qzqzxv!19sChIJD2-uWOW8akAR5jenGvW1Emw?authuser=0&hl=zh-TW&rclk=1
