place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ5wRGeBNxljMR57kDpBmGK3U,Xtremely Xpresso Cafe,,False,2178,"Name: Holy Grounds Coffee House
link: https://www.google.com/maps/search/Holy+Grounds+Coffee+House/@14.817019699999998,120.2831922?authuser=0&hl=zh-TW&entry=ttu
Reviews: 467 reviews

Name: 727 Coffee & Co.
link: https://www.google.com/maps/search/727+Coffee+%26+Co./@14.821741099999999,120.27562610000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 349 reviews

Name: Kim's Cafe
link: https://www.google.com/maps/search/Kim%27s+Cafe/@14.821107399999999,120.27481940000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 70 reviews

Name: Sabrosso Cafe
link: https://www.google.com/maps/search/Sabrosso+Cafe/@14.8170886,120.2829283?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",http://www.xtremelyxpresso.com/,Xtremely Xpresso Cafe (Ye Zhu ),https://www.google.com/maps/contrib/117041341421372697225,https://lh5.googleusercontent.com/p/AF1QipO7keq6NjAX9EK6hJQAmOXaLq0SL8dReA6Ko_6w=w427-h240-k-no,Ka Pei Dian ,"Ka Pei Dian , Yi Da Li Can Ting , Can Ting ",4.5,06:00-23:00,Open All Days,+63 47 252 3681,"Xtremely Xpresso Cafe, #1 Dewey Avenue Subic Bay Freeport Zone, Olongapo, 2200 Zambales, Fei Lu Bin ","Pi Sa , Han Bao , Le Pai , nachos, Niu Pai , Qian Cai , Yi Shi Bing Qi Lin , Song Lu ",https://www.google.com/maps/place/Xtremely+Xpresso+Cafe/data=!4m7!3m6!1s0x33967113784604e7:0x752b8619a403b9e7!8m2!3d14.8190696!4d120.2807293!16s%2Fg%2F1tf9_j6w!19sChIJ5wRGeBNxljMR57kDpBmGK3U?authuser=0&hl=zh-TW&rclk=1
ChIJsSyo0dpwljMRyOFJu4W1qZE,The Coffee Shop,,False,713,"Name: Sit-n-Bull
link: https://www.google.com/maps/search/Sit-n-Bull/@14.851355199999999,120.26100230000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 463 reviews

Name: Angel's Bakery
link: https://www.google.com/maps/search/Angel%27s+Bakery/@14.8513047,120.25999979999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 200 reviews

Name: Kopibreak
link: https://www.google.com/maps/search/Kopibreak/@14.8777615,120.23441270000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 43 reviews

Name: Ang De
link: https://www.google.com/maps/search/Ang+De/@14.8422827,120.2868006?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews",http://coffeeshophotel.com/,The Coffee Shop (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMvj2-V5k-u46YeFWCbTHoX25C5mhN7azdVA9UB=w408-h306-k-no,Can Ting ,"Can Ting , Ka Pei Ting ",4.3,07:00-22:00,Open All Days,+63 47 222 4530,"The Coffee Shop, 2 Rizal St, Lungsod ng Olongapo, 2200 Zambales, Fei Lu Bin ","taco, Fang Jian , Jia Ting , Ting Che , Zao Can , Fan Xin , Qian , Ke Fu ",https://www.google.com/maps/place/The+Coffee+Shop/data=!4m7!3m6!1s0x339670dad1a82cb1:0x91a9b585bb49e1c8!8m2!3d14.8495258!4d120.2652134!16s%2Fg%2F1tcxg9c1!19sChIJsSyo0dpwljMRyOFJu4W1qZE?authuser=0&hl=zh-TW&rclk=1
ChIJKfCHi2BxljMRtOwe8hoP0Bk,Hometown Cafe,,False,239,"Name: Holy Grounds Coffee House
link: https://www.google.com/maps/search/Holy+Grounds+Coffee+House/@14.817019699999998,120.2831922?authuser=0&hl=zh-TW&entry=ttu
Reviews: 467 reviews

Name: 727 Coffee & Co.
link: https://www.google.com/maps/search/727+Coffee+%26+Co./@14.821741099999999,120.27562610000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 349 reviews

Name: Starbucks Harbor Point Mall Subic
link: https://www.google.com/maps/search/Starbucks+Harbor+Point+Mall+Subic/@14.8244212,120.28049560000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 191 reviews

Name: The Coffee Bean & Tea Leaf
link: https://www.google.com/maps/search/The+Coffee+Bean+%26+Tea+Leaf/@14.824344300000002,120.2803942?authuser=0&hl=zh-TW&entry=ttu
Reviews: 188 reviews",https://www.facebook.com/hometowncafeph,Hometown Cafe (Ye Zhu ),https://www.google.com/maps/contrib/111915877230317277262,https://lh5.googleusercontent.com/p/AF1QipMMFHX1d58twbM9M3bOdTue4ULk-UzJzNMV8fXi=w426-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.9,07:00-21:00,Open All Days,+63 945 557 1420,"Hometown Cafe, Wow World Complex Rizal Highway Subic Bay Freeport Zone, Olongapo, Zambales, Fei Lu Bin ","Ka Pei Shi , Gao , Mo Cha , Bing Gan , Mei Gan , Hui Hua , Ma De Lian , Ji Jian ",https://www.google.com/maps/place/Hometown+Cafe/data=!4m7!3m6!1s0x339671608b87f029:0x19d00f1af21eecb4!8m2!3d14.8231281!4d120.2831359!16s%2Fg%2F11rd5gm_j8!19sChIJKfCHi2BxljMRtOwe8hoP0Bk?authuser=0&hl=zh-TW&rclk=1
ChIJ30QqpQ9xljMRv-WUgSo0Ny8,Starbucks Harbor Point Mall Subic,,False,191,"Name: Xtremely Xpresso Cafe
link: https://www.google.com/maps/search/Xtremely+Xpresso+Cafe/@14.819069599999999,120.2807293?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2177 reviews

Name: 727 Coffee & Co.
link: https://www.google.com/maps/search/727+Coffee+%26+Co./@14.821741099999999,120.27562610000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 349 reviews

Name: Hometown Cafe
link: https://www.google.com/maps/search/Hometown+Cafe/@14.8231281,120.28313589999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 239 reviews

Name: The Coffee Bean & Tea Leaf
link: https://www.google.com/maps/search/The+Coffee+Bean+%26+Tea+Leaf/@14.824344300000002,120.2803942?authuser=0&hl=zh-TW&entry=ttu
Reviews: 188 reviews

Name: Garden Cafe
link: https://www.google.com/maps/search/Garden+Cafe/@14.8184098,120.28305540000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",https://www.starbucks.ph/,Starbucks Harbor Point Mall Subic (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNYNG4HI4V9wpM95dTWR3pt0E1lCNzKO2QuED--=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4.3,08:00-22:00,Open All Days,+63 47 251 1022,"Harbor Point, Starbucks Harbor Point Mall Subic, Rizal Hwy, Subic Bay, Olongapo, Zambales, Fei Lu Bin ","wifi, Mian Ji , Na Tie Ka Pei ",https://www.google.com/maps/place/Starbucks+Harbor+Point+Mall+Subic/data=!4m7!3m6!1s0x3396710fa52a44df:0x2f37342a8194e5bf!8m2!3d14.8244212!4d120.2804956!16s%2Fg%2F113g_9z92!19sChIJ30QqpQ9xljMRv-WUgSo0Ny8?authuser=0&hl=zh-TW&rclk=1
ChIJ_VsA3xBxljMRXHQ12o7D39Q,The Coffee Bean & Tea Leaf,Gong Ying Zhao Pai Bing Sha Deng Duo Yang Yin Pin De Ka Pei Lian Suo Pin Pai . ,False,188,"Name: 727 Coffee & Co.
link: https://www.google.com/maps/search/727+Coffee+%26+Co./@14.821741099999999,120.27562610000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 349 reviews

Name: Hometown Cafe
link: https://www.google.com/maps/search/Hometown+Cafe/@14.8231281,120.28313589999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 239 reviews

Name: Starbucks Harbor Point Mall Subic
link: https://www.google.com/maps/search/Starbucks+Harbor+Point+Mall+Subic/@14.8244212,120.28049560000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 191 reviews

Name: Aroma Cafe
link: https://www.google.com/maps/search/Aroma+Cafe/@14.827904499999999,120.28251290000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 23 reviews

Name: But First, Coffee (BFC) - Olongapo
link: https://www.google.com/maps/search/But+First%2C+Coffee+%28BFC%29+-+Olongapo/@14.8271629,120.2806172?authuser=0&hl=zh-TW&entry=ttu
Reviews: 22 reviews",http://www.coffeebean.com.ph/,The Coffee Bean & Tea Leaf (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipP2P5LNV3CcaDJK5iEQvaYz6Kppz7naRGXAD_g=w426-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.4,08:00-21:00,Open All Days,+63 47 306 5019,"The Coffee Bean & Tea Leaf, Subic Bay Freeport Zone, Zambales, Fei Lu Bin ","Gou Wu Zhong Xin , wifi, Dan Gao , Fang Jian , Mo Cha , atmosphere",https://www.google.com/maps/place/The+Coffee+Bean+%26+Tea+Leaf/data=!4m7!3m6!1s0x33967110df005bfd:0xd4dfc38eda35745c!8m2!3d14.8243443!4d120.2803942!16s%2Fg%2F12qgwv_f0!19sChIJ_VsA3xBxljMRXHQ12o7D39Q?authuser=0&hl=zh-TW&rclk=1
ChIJsdNW0hpxljMRy3WNKu-R-Pc,Sefina's Bakery & Cafe,,False,178,"Name: Nathaniel's Bakeshop
link: https://www.google.com/maps/search/Nathaniel%27s+Bakeshop/@14.819052500000002,120.28108039999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 128 reviews

Name: Myleen's Cafe
link: https://www.google.com/maps/search/Myleen%27s+Caf%C3%A9/@14.851405300000001,120.2617267?authuser=0&hl=zh-TW&entry=ttu
Reviews: 103 reviews

Name: Vegas Cafe Mexinoy
link: https://www.google.com/maps/search/Vegas+Cafe+Mexinoy/@14.827903099999999,120.2851374?authuser=0&hl=zh-TW&entry=ttu
Reviews: 40 reviews

Name: Sefina's Harbor Point
link: https://www.google.com/maps/search/Sefina%27s+Harbor+Point/@14.8250295,120.2803599?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews

Name: Celestine Cakes and Bread
link: https://www.google.com/maps/search/Celestine+Cakes+and+Bread/@14.827110600000001,120.27820469999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.facebook.com/sefinasbakery,Sefina's Bakery & Cafe (Ye Zhu ),https://www.google.com/maps/contrib/100436806649151756011,https://lh5.googleusercontent.com/p/AF1QipMcgSi5dptzxvlKXOnwDW4SCi1Rg7mhISuW_vx-=w408-h272-k-no,Can Ting ,"Can Ting , Mian Bao Xi Bing Dian , Ka Pei Ting ",4.4,10:00-22:00,Open All Days,+63 945 573 7297,"Sefina's Bakery & Cafe, 48 Gordon Ave, Lungsod ng Olongapo, 2200 Zambales, Fei Lu Bin ","Gao , Jia Ge , Han Bao , Mian Bao , Kai Xin , Bing Gan , Fang Jian , taco, Wai Dai ",https://www.google.com/maps/place/Sefina%27s+Bakery+%26+Cafe/data=!4m7!3m6!1s0x3396711ad256d3b1:0xf7f891ef2a8d75cb!8m2!3d14.8282246!4d120.285507!16s%2Fg%2F11c1c080tl!19sChIJsdNW0hpxljMRy3WNKu-R-Pc?authuser=0&hl=zh-TW&rclk=1
ChIJGwphphBxljMRgnYHFbDR8M0,The VSNRY,,False,155,"Name: Holy Grounds Coffee House
link: https://www.google.com/maps/search/Holy+Grounds+Coffee+House/@14.817019699999998,120.2831922?authuser=0&hl=zh-TW&entry=ttu
Reviews: 467 reviews

Name: 727 Coffee & Co.
link: https://www.google.com/maps/search/727+Coffee+%26+Co./@14.821741099999999,120.27562610000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 349 reviews

Name: The Coffee Bean & Tea Leaf
link: https://www.google.com/maps/search/The+Coffee+Bean+%26+Tea+Leaf/@14.824344300000002,120.2803942?authuser=0&hl=zh-TW&entry=ttu
Reviews: 188 reviews

Name: Flavor and Aroma
link: https://www.google.com/maps/search/Flavor+and+Aroma/@14.822583999999999,120.27581289999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 79 reviews",https://www.facebook.com/vsnrycafe/,The VSNRY (Ye Zhu ),https://www.google.com/maps/contrib/105966427377147158660,https://lh5.googleusercontent.com/p/AF1QipM74fbGYaak2cdIxWtVVWZ_gq1FAVkVONzNRqz7=w408-h255-k-no,Ka Pei Ting ,Ka Pei Ting ,4.6,10:00-21:00,Open All Days,+63 960 839 0851,"Unit 102, Bldg 2, The VSNRY, Sunny East Complex, Lot 16-17 Manila Ave, Central Business District, Subic Bay Freeport Zone, Zambales, Fei Lu Bin ","Jia Ge , Song Bing , Ka Pei Shi , Qian , atmosphere",https://www.google.com/maps/place/The+VSNRY/data=!4m7!3m6!1s0x33967110a6610a1b:0xcdf0d1b015077682!8m2!3d14.8236061!4d120.2774966!16s%2Fg%2F11ggt192m7!19sChIJGwphphBxljMRgnYHFbDR8M0?authuser=0&hl=zh-TW&rclk=1
ChIJz23X1R5xljMR4xjcPXg7c60,Myleen's Cafe,,False,104,"Name: Rali's Restaurant
link: https://www.google.com/maps/search/Rali%27s+Restaurant/@14.8115715,120.29675429999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 612 reviews

Name: Urban Deli
link: https://www.google.com/maps/search/Urban+Deli/@14.824010999999999,120.289519?authuser=0&hl=zh-TW&entry=ttu
Reviews: 283 reviews

Name: Shamboli's Pizza
link: https://www.google.com/maps/search/Shamboli%27s+Pizza/@14.8498992,120.26429359999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 167 reviews

Name: Jewel Cafe & Restaurant
link: https://www.google.com/maps/search/Jewel+Caf%C3%A9+%26+Restaurant/@14.8511268,120.26341269999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 131 reviews

Name: Arnie Belle
link: https://www.google.com/maps/search/Arnie+Belle/@14.886699400000001,120.23656020000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 42 reviews",https://www.myleens.com/,Myleen's Cafe (Ye Zhu ),https://www.google.com/maps/contrib/102890901770993033913,https://lh5.googleusercontent.com/p/AF1QipPzXZCWHAnfEvvFIkk2F9oCAFhoaLP2GowBrF8-=w557-h240-k-no,Can Ting ,"Can Ting , Mei Shi Can Ting , Ka Pei Dian , Fei Lu Bin Can Ting , Yi Da Li Can Ting , Mo Xi Ge Can Ting ",4.4,08:00-22:00,Xing Qi Er ,+63 910 451 0052,"Myleen's Cafe, 56 RH 5 National Hwy, Olongapo, 2200 Zambales, Fei Lu Bin ","Jia Ge , Mo Xi Ge , Zao Can , Yi Da Li , Jiang , Ting Che , Pai , Yu Mi Bing , Nai You ",https://www.google.com/maps/place/Myleen%27s+Caf%C3%A9/data=!4m7!3m6!1s0x3396711ed5d76dcf:0xad733b783ddc18e3!8m2!3d14.8514053!4d120.2617267!16s%2Fg%2F11g2308k8j!19sChIJz23X1R5xljMR4xjcPXg7c60?authuser=0&hl=zh-TW&rclk=1
ChIJE3XIO5txljMRN5DsJTNUvvs,Kim's Cafe,,False,70,"Name: Xtremely Xpresso Cafe
link: https://www.google.com/maps/search/Xtremely+Xpresso+Cafe/@14.819069599999999,120.2807293?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2177 reviews

Name: 727 Coffee & Co.
link: https://www.google.com/maps/search/727+Coffee+%26+Co./@14.821741099999999,120.27562610000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 349 reviews

Name: Flavor and Aroma
link: https://www.google.com/maps/search/Flavor+and+Aroma/@14.822583999999999,120.27581289999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 79 reviews

Name: Kasiyana Cafe
link: https://www.google.com/maps/search/Kasiyana+Caf%C3%A9/@14.838393,120.2845505?authuser=0&hl=zh-TW&entry=ttu
Reviews: 61 reviews

Name: Garden Cafe
link: https://www.google.com/maps/search/Garden+Cafe/@14.8184098,120.28305540000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",https://www.facebook.com/kimscafekoreancafe/,Kim's Cafe (Ye Zhu ),https://www.google.com/maps/contrib/110878594539709358854,https://lh5.googleusercontent.com/p/AF1QipNLW7lCnflE2R1SNScksfgyoF7ly84R_cHGrgaF=w408-h544-k-no,Ka Pei Dian ,Ka Pei Dian ,4.6,11:00-22:00,Xing Qi Yi ,+63 961 578 9506,"Kim's Cafe, Marina, Blk 1 Lot 6 Moon Bay, Waterfront Rd, Subic Bay Freeport Zone, 2200 Zambales, Fei Lu Bin ","Mei Gan , Gao , Han Fu , Fan Juan , Ji Rou , Jia Ge ",https://www.google.com/maps/place/Kim%27s+Cafe/data=!4m7!3m6!1s0x3396719b3bc87513:0xfbbe543325ec9037!8m2!3d14.8211074!4d120.2748194!16s%2Fg%2F11rk9px_wv!19sChIJE3XIO5txljMRN5DsJTNUvvs?authuser=0&hl=zh-TW&rclk=1
ChIJRwqbotBxljMRUDvSsDwFlk4,Starbucks,"Yuan Yu Xi Ya Tu De Lian Suo Ka Pei Ting ,Yi Zhao Pai Hong Bei Dou , Qing Shi He Ti Gong  WiFi Er Wen Ming . ",False,48,"Name: The Coffee Bean & Tea Leaf
link: https://www.google.com/maps/search/The+Coffee+Bean+%26+Tea+Leaf/@14.824344300000002,120.2803942?authuser=0&hl=zh-TW&entry=ttu
Reviews: 188 reviews

Name: Lily's Cafe
link: https://www.google.com/maps/search/Lily%27s+Cafe/@14.839921299999999,120.28831249999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 59 reviews

Name: Aroma Cafe
link: https://www.google.com/maps/search/Aroma+Cafe/@14.827904499999999,120.28251290000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 23 reviews

Name: Cafe TriBu Olongapo City Branch
link: https://www.google.com/maps/search/Cafe+TriBu+Olongapo+City+Branch/@14.827265599999999,120.2810538?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",http://www.starbucks.ph/,Starbucks (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNLHtXrdymR2K6wx-P55e_1bNPD9u0AgZlD4ik=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4.1,09:30-21:00,Open All Days,,"G/F, Starbucks, SM City Olongapo Central Entrance, 3 Rizal Avenue Extension, Olongapo, Zambales, Fei Lu Bin ",,https://www.google.com/maps/place/Starbucks/data=!4m7!3m6!1s0x339671d0a29b0a47:0x4e96053cb0d23b50!8m2!3d14.8364855!4d120.2832016!16s%2Fg%2F11fn8mm5ns!19sChIJRwqbotBxljMRUDvSsDwFlk4?authuser=0&hl=zh-TW&rclk=1
