place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJvxaAae2CMpQROPY20QP9ZZg,Supermercados Cordiez,,False,1057,"Name: Good Mornings Supermarket
link: https://www.google.com/maps/search/Good+Mornings+Supermarket/@-31.2294212,-64.3180276?authuser=0&hl=zh-TW&entry=ttu
Reviews: 439 reviews

Name: Kiosco del Pampa
link: https://www.google.com/maps/search/Kiosco+del+Pampa/@-31.229481500000002,-64.3233884?authuser=0&hl=zh-TW&entry=ttu
Reviews: 32 reviews

Name: Cordiez
link: https://www.google.com/maps/search/Cordiez/@-31.459074999999995,-64.1683487?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: Cooperativa Alto Alegre
link: https://www.google.com/maps/search/Cooperativa+Alto+Alegre/@-31.2379569,-64.33032109999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.cordiez.com.ar/,Supermercados Cordiez (Ye Zhu ),https://www.google.com/maps/contrib/106196372873596420422,https://lh5.googleusercontent.com/p/AF1QipOGxWke5rUWjHVnce0Qtz2EMsBLQJhjrgmq_6hQ=w408-h544-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,3.6,"08:30-13:00, 17:00-21:30",Open All Days,+54 810-555-1970,"Supermercados Cordiez, San Martin, Azopardo esquina, Unquillo, Cordoba, A Gen Ting ","Gong Ying , He , Chou , Wu Can Rou , Zai Nan , Qing Jie ",https://www.google.com/maps/place/Supermercados+Cordiez/data=!4m7!3m6!1s0x943282ed698016bf:0x9865fd03d136f638!8m2!3d-31.2368505!4d-64.3135075!16s%2Fg%2F11c60dcqs8!19sChIJvxaAae2CMpQROPY20QP9ZZg?authuser=0&hl=zh-TW&rclk=1
ChIJTf4xny6DMpQRyrXDZ2OX8XM,Del Pilar,,False,636,"Name: GOOD PAN
link: https://www.google.com/maps/search/GOOD+PAN/@-31.2554071,-64.2718362?authuser=0&hl=zh-TW&entry=ttu
Reviews: 844 reviews

Name: Cafeteria Lo De Lola
link: https://www.google.com/maps/search/Cafeteria+Lo+De+Lola/@-31.264102500000003,-64.30323349999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 348 reviews

Name: Panaderia Del Pilar
link: https://www.google.com/maps/search/Panader%C3%ADa+Del+Pilar/@-31.3627994,-64.3343739?authuser=0&hl=zh-TW&entry=ttu
Reviews: 317 reviews

Name: La Chamba Cafeteria
link: https://www.google.com/maps/search/La+Chamba+Cafeteria/@-31.2656101,-64.30508069999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 115 reviews",http://www.panaderiadelpilar.com.ar/,Del Pilar (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMLF9Mtg3UAz7PZfGOb4TSOphUHQASKop-T7KeS=w427-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.5,07:00-20:00,Open All Days,,"Del Pilar, Av. Martin Tissera 1335, X5108 Mendiolaza, Cordoba, A Gen Ting ","Jia Ge , Kong Jian , Shu , Ke Song , Chan Pin , Zhuo , Jia Ting , Mian Bao Dian ",https://www.google.com/maps/place/Del+Pilar/data=!4m7!3m6!1s0x9432832e9f31fe4d:0x73f1976367c3b5ca!8m2!3d-31.2569445!4d-64.2823182!16s%2Fg%2F11cp5fh_n7!19sChIJTf4xny6DMpQRyrXDZ2OX8XM?authuser=0&hl=zh-TW&rclk=1
ChIJL7mINo2CMpQR6IdyZCfDHjI,Del Pilar,,False,548,"Name: Bolleria Panes
link: https://www.google.com/maps/search/Bolleria+Panes/@-31.246945600000004,-64.30645609999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 898 reviews

Name: Panaderia Aquino
link: https://www.google.com/maps/search/Panader%C3%ADa+Aquino/@-31.2158025,-64.31612369999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 676 reviews

Name: Good Pan Unquillo
link: https://www.google.com/maps/search/Good+Pan+Unquillo/@-31.234270700000003,-64.3175254?authuser=0&hl=zh-TW&entry=ttu
Reviews: 252 reviews

Name: Panaderia & Confitteria Elaboracion Propia
link: https://www.google.com/maps/search/Panaderia+%26+Confitteria+Elaboracion+Propia/@-31.2398199,-64.31069?authuser=0&hl=zh-TW&entry=ttu
Reviews: 23 reviews

Name: Panaderia La Pampa
link: https://www.google.com/maps/search/Panader%C3%ADa+La+Pampa/@-31.227396499999994,-64.3183565?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews",http://www.panaderiadelpilar.com.ar/,Del Pilar (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipM_QtGQE5nBREL_wdFZK2tKpTchtZlqr2ToyE6L=w408-h306-k-no,Mian Bao Xi Bing Dian ,Mian Bao Xi Bing Dian ,3.9,07:00-20:00,Open All Days,+54 3543 48-8003,"Del Pilar, Av San Martin 1727 Local 1, Centro, X5109ABE Unquillo, Cordoba, A Gen Ting ","Ka Pei , Jia Ge , Zhuo , San Ming Zhi , Tu Si , Chan Pin , Bei Zi , Zuo ",https://www.google.com/maps/place/Del+Pilar/data=!4m7!3m6!1s0x9432828d3688b92f:0x321ec327647287e8!8m2!3d-31.2360686!4d-64.3139156!16s%2Fg%2F11bw5ytnfk!19sChIJL7mINo2CMpQR6IdyZCfDHjI?authuser=0&hl=zh-TW&rclk=1
ChIJ0W1hvc2CMpQRpUUdFityjpg,Cafeteria Lo De Lola,,False,349,"Name: Del Pilar
link: https://www.google.com/maps/search/Del+Pilar/@-31.2569445,-64.28231819999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 636 reviews

Name: La Chamba Cafeteria
link: https://www.google.com/maps/search/La+Chamba+Cafeteria/@-31.2656101,-64.30508069999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 115 reviews

Name: La Esquina
link: https://www.google.com/maps/search/La+Esquina/@-31.265931099999996,-64.3035237?authuser=0&hl=zh-TW&entry=ttu
Reviews: 61 reviews

Name: Chez Los Gordos
link: https://www.google.com/maps/search/Chez+Los+Gordos/@-31.2685239,-64.3159556?authuser=0&hl=zh-TW&entry=ttu
Reviews: 55 reviews",https://cafeteria-lo-de-lola.negocio.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,Cafeteria Lo De Lola (Ye Zhu ),https://www.google.com/maps/contrib/104038396355908551730,https://lh5.googleusercontent.com/p/AF1QipPMjWMtS16PqMrg3GL2ROM5uN8kHcXr44qx1qqQ=w408-h306-k-no,Ka Pei Ting ,"Ka Pei Ting , Zao Can Can Ting , Zi Xun Zhan ",4.4,07:30-23:00,Open All Days,+54 351 593-6696,"Cafeteria Lo De Lola, Avenida Malvinas 1409 Esquina, Espana 183, X5107 Mendiolaza, Cordoba, A Gen Ting ","Jia Ge , San Ming Zhi , Fu You , Huan Jing , Chan Pin , Cang Ku , Jia Ting , Xian Bing , Ba ",https://www.google.com/maps/place/Cafeteria+Lo+De+Lola/data=!4m7!3m6!1s0x943282cdbd616dd1:0x988e722b161d45a5!8m2!3d-31.2641025!4d-64.3032335!16s%2Fg%2F11g9qlbtrp!19sChIJ0W1hvc2CMpQRpUUdFityjpg?authuser=0&hl=zh-TW&rclk=1
ChIJU6Ga__GDMpQRtAXf7Wsz3-U,Uqbar Multiespacio,,False,342,"Name: Multiespacio La Rosa Vivero Bar
link: https://www.google.com/maps/search/Multiespacio+La+Rosa+Vivero+Bar/@-31.254618999999998,-64.24822259999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 287 reviews

Name: Rulo resto bar
link: https://www.google.com/maps/search/Rulo+resto+bar/@-31.233929,-64.3154947?authuser=0&hl=zh-TW&entry=ttu
Reviews: 103 reviews

Name: El Mamboreta Multiespacio
link: https://www.google.com/maps/search/El+Mamboreta+Multiespacio/@-31.2366166,-64.3245228?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",https://uqbarmultiespacio.com.ar/,Uqbar Multiespacio (Ye Zhu ),https://www.google.com/maps/contrib/114636129924619706524,https://lh5.googleusercontent.com/p/AF1QipO5fb0vRbctSKEMBbKnfqDEXld0vbF3bXKJkXPc=w426-h240-k-no,Wen Hua Zhong Xin ,"Wen Hua Zhong Xin , Yi Lang Ka Pei Ting , Hua Lang , Jiu Ba ",4.5,08:00-00:00,Open All Days,+54 9 351 519-5645,"Uqbar Multiespacio, Av. San Martin 1613, Unquillo, Cordoba, A Gen Ting ","Zao Can , Pi Sa , Huan Jing , Xin , Jing Yan , Ma Ke Bei , Zhuo , Mei Shi , Fu You ",https://www.google.com/maps/place/Uqbar+Multiespacio/data=!4m7!3m6!1s0x943283f1ff9aa153:0xe5df336beddf05b4!8m2!3d-31.2369404!4d-64.3126811!16s%2Fg%2F11q2yhnd28!19sChIJU6Ga__GDMpQRtAXf7Wsz3-U?authuser=0&hl=zh-TW&rclk=1
ChIJ9SwJRrWCMpQRuyrjiIunh_c,Chez Los Gordos,,False,55,"Name: GOOD PAN
link: https://www.google.com/maps/search/GOOD+PAN/@-31.2554071,-64.2718362?authuser=0&hl=zh-TW&entry=ttu
Reviews: 844 reviews

Name: Pulperia Mendiolaza
link: https://www.google.com/maps/search/Pulper%C3%ADa+Mendiolaza/@-31.2562312,-64.2989113?authuser=0&hl=zh-TW&entry=ttu
Reviews: 436 reviews

Name: Cafeteria Lo De Lola
link: https://www.google.com/maps/search/Cafeteria+Lo+De+Lola/@-31.264102500000003,-64.30323349999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 348 reviews

Name: La Chamba Cafeteria
link: https://www.google.com/maps/search/La+Chamba+Cafeteria/@-31.2656101,-64.30508069999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 115 reviews

Name: La Esquina
link: https://www.google.com/maps/search/La+Esquina/@-31.265931099999996,-64.3035237?authuser=0&hl=zh-TW&entry=ttu
Reviews: 61 reviews",https://chez-los-gordos.negocio.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,Chez Los Gordos (Ye Zhu ),https://www.google.com/maps/contrib/116087757074479451970,https://lh5.googleusercontent.com/p/AF1QipNOPFnXrY0MgLpJ5GoZOg8PDW_q0AoComPRdKEU=w426-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.7,24 Xiao Shi Ying Ye ,Open All Days,+54 351 714-9627,"Chez Los Gordos, Ladera Sur, Mendiolaza, Cordoba, A Gen Ting ","Jia Ting , Shou Si , Hao Hua , Fu You ",https://www.google.com/maps/place/Chez+Los+Gordos/data=!4m7!3m6!1s0x943282b546092cf5:0xf787a78b88e32abb!8m2!3d-31.2685239!4d-64.3159556!16s%2Fg%2F11hd23l7sm!19sChIJ9SwJRrWCMpQRuyrjiIunh_c?authuser=0&hl=zh-TW&rclk=1
ChIJW3feUQuDMpQRjUQbFuLTx0c,Cafelics,,False,10,,https://www.instagram.com/cafelics/%3Fhl%3Des-la,Cafelics (Ye Zhu ),https://www.google.com/maps/contrib/114207221300036846073,https://lh5.googleusercontent.com/p/AF1QipPzjkpwhgYdK9ybmDc0M3dyRbbMPNoXdzLDBrhC=w408-h725-k-no,Ka Pei Dian ,Ka Pei Dian ,5,"09:00-12:00, 17:00-20:30",Xing Qi Ri ,+54 3543 62-9002,"Cafelics, Cordoba AR, Av. Martin Tissera 4300, X5107 Mendiolaza, Cordoba, A Gen Ting ",,https://www.google.com/maps/place/Cafelics/data=!4m7!3m6!1s0x9432830b51de775b:0x47c7d3e2161b448d!8m2!3d-31.2530576!4d-64.2550776!16s%2Fg%2F11y1k5lj9_!19sChIJW3feUQuDMpQRjUQbFuLTx0c?authuser=0&hl=zh-TW&rclk=1
ChIJJVDKsMWDMpQRxxgSM00_dpg,Lugarcito,,False,2,,https://instagram.com/lugarcito.caffe,Lugarcito (Ye Zhu ),https://www.google.com/maps/contrib/102548105025071894400,https://lh5.googleusercontent.com/p/AF1QipPQ21ToJ9ur_EfcmHME7_qI0kX1teNbInnGveLB=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,5,18:00-21:30,"Xing Qi Yi , Xing Qi Er ",+54 3543 30-0889,"Lugarcito, Av. San Martin 1483, Unquillo, Cordoba, A Gen Ting ",,https://www.google.com/maps/place/Lugarcito/data=!4m7!3m6!1s0x943283c5b0ca5025:0x98763f4d331218c7!8m2!3d-31.237728!4d-64.312228!16s%2Fg%2F11y20h8bkz!19sChIJJVDKsMWDMpQRxxgSM00_dpg?authuser=0&hl=zh-TW&rclk=1
ChIJH06Mp2ODMpQRTNEWpply-hE,Bolleria Panes,,False,898,"Name: Panaderia Aquino
link: https://www.google.com/maps/search/Panader%C3%ADa+Aquino/@-31.2158025,-64.31612369999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 676 reviews

Name: Good Pan Unquillo
link: https://www.google.com/maps/search/Good+Pan+Unquillo/@-31.234270700000003,-64.3175254?authuser=0&hl=zh-TW&entry=ttu
Reviews: 252 reviews

Name: Panaderia Richissimo
link: https://www.google.com/maps/search/Panaderia+Richissimo/@-31.236761800000004,-64.3125496?authuser=0&hl=zh-TW&entry=ttu
Reviews: 31 reviews

Name: Panaderia & Confitteria Elaboracion Propia
link: https://www.google.com/maps/search/Panaderia+%26+Confitteria+Elaboracion+Propia/@-31.2398199,-64.31069?authuser=0&hl=zh-TW&entry=ttu
Reviews: 23 reviews

Name: Pasteleria Sabor Dulce
link: https://www.google.com/maps/search/Pasteler%C3%ADa+Sabor+Dulce/@-31.245816299999998,-64.2979896?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",,Bolleria Panes (Ye Zhu ),https://www.google.com/maps/contrib/110195044345169523529,https://lh5.googleusercontent.com/p/AF1QipO9XXAoMivejD820-A9Hc6Erh4diyqa3cpIuZ9x=w408-h272-k-no,Mian Bao Xi Bing Dian ,"Mian Bao Xi Bing Dian , Zi Zhu Can Ting ",4.6,07:30-21:00,Open All Days,+54 9 351 627-6109,"Bolleria Panes, Av. San Martin 443, X5109 Unquillo, Cordoba, A Gen Ting ","Chan Pin , Fu You , Zao Can , Lao Mian , Ting Che Chang , Xin , Luo Li ",https://www.google.com/maps/place/Bolleria+Panes/data=!4m7!3m6!1s0x94328363a78c4e1f:0x11fa7299a616d14c!8m2!3d-31.2469456!4d-64.3064561!16s%2Fg%2F11j5cvd_77!19sChIJH06Mp2ODMpQRTNEWpply-hE?authuser=0&hl=zh-TW&rclk=1
ChIJyeBhluCdMpQRR7WY3y7Z6jY,Panicafe,,False,865,"Name: Panicafe
link: https://www.google.com/maps/search/Panicafe/@-31.367600600000003,-64.2342029?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8467 reviews

Name: MIXTURA Cafeteria comedor panaderia
link: https://www.google.com/maps/search/MIXTURA+Cafeteria+comedor+panaderia/@-31.292027500000003,-64.29206289999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2809 reviews

Name: Panaderia y Cafeteria Villar
link: https://www.google.com/maps/search/Panaderia+y+Cafeteria+Villar/@-31.295606099999997,-64.2933103?authuser=0&hl=zh-TW&entry=ttu
Reviews: 437 reviews

Name: uPeranIBIO [Villa Allende]
link: https://www.google.com/maps/search/%EA%9C%B1u%E1%B4%98eran%EA%9C%B0%C9%AA%CA%99%C9%AA%E1%B4%8F+%5BVilla+Allende%5D/@-31.2867873,-64.2945701?authuser=0&hl=zh-TW&entry=ttu
Reviews: 74 reviews

Name: Cafe de la ciudad
link: https://www.google.com/maps/search/Caf%C3%A9+de+la+ciudad/@-31.2943708,-64.2942317?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews",,Panicafe (Ye Zhu ),https://www.google.com/maps/contrib/109660113444750648498,https://lh5.googleusercontent.com/p/AF1QipPxNcTWy7Mv4buMFrFbsyydz_NPNCMXM3373AqI=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4.2,07:00-22:30,Open All Days,+54 351 661-5212,"Panicafe, Azcuenaga 248, X5105 Villa Allende, Cordoba, A Gen Ting ","Zao Can , Fu You , Xin , Huan Jing , Pi Sa , Leng , Cang Ying ",https://www.google.com/maps/place/Panicafe/data=!4m7!3m6!1s0x94329de09661e0c9:0x36ead92edf98b547!8m2!3d-31.2897663!4d-64.2938026!16s%2Fg%2F11s0tg1c2z!19sChIJyeBhluCdMpQRR7WY3y7Z6jY?authuser=0&hl=zh-TW&rclk=1
