place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJcXnrRMuYoRQRhBRc21z3mi4,Alios,,False,976,"Name: SALTO MORTALE
link: https://www.google.com/maps/search/SALTO+MORTALE/@38.0647326,23.79945?authuser=0&hl=zh-TW&entry=ttu
Reviews: 932 reviews

Name: Coffee Island
link: https://www.google.com/maps/search/Coffee+Island/@38.0591425,23.794025299999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 357 reviews

Name: Nook Deli Corner
link: https://www.google.com/maps/search/Nook+Deli+Corner/@38.0597533,23.7876185?authuser=0&hl=zh-TW&entry=ttu
Reviews: 175 reviews

Name: Almaz
link: https://www.google.com/maps/search/Almaz/@38.0592301,23.7904892?authuser=0&hl=zh-TW&entry=ttu
Reviews: 55 reviews",http://www.alios-cafe.gr/,Alios (Ye Zhu ),https://www.google.com/maps/contrib/104515396268514994173,https://lh5.googleusercontent.com/p/AF1QipONoGfePz58j6vo4DAVO5Z_yKXJlRn4KJioOwlL=w426-h240-k-no,Ka Pei Ting ,"Ka Pei Ting , Jiu Ba ",4.4,07:00-01:00,Open All Days,+30 21 0614 3440,"Alios, Agiou Panteleimonos 1 PLATEIA S.BENIZELOU, Pefki 151 21Xi La ",atmosphere,https://www.google.com/maps/place/Alios/data=!4m7!3m6!1s0x14a198cb44eb7971:0x2e9af75cdb5c1484!8m2!3d38.0588529!4d23.7922316!16s%2Fg%2F11ckxxb09x!19sChIJcXnrRMuYoRQRhBRc21z3mi4?authuser=0&hl=zh-TW&rclk=1
ChIJW0cjvsqYoRQRS5QAPNN2fzc,Dizer,,False,968,"Name: Spyrides
link: https://www.google.com/maps/search/Spyr%C3%ADd%C4%93s/@38.0547174,23.7921922?authuser=0&hl=zh-TW&entry=ttu
Reviews: 735 reviews

Name: Gregores
link: https://www.google.com/maps/search/%CE%93%CF%81%CE%B7%CE%B3%CF%8C%CF%81%CE%B7%CF%82/@38.0593053,23.7883174?authuser=0&hl=zh-TW&entry=ttu
Reviews: 270 reviews

Name: La Strada Coffee House - Kapheteria Peuke
link: https://www.google.com/maps/search/La+Strada+Coffee+House+-+%CE%9A%CE%B1%CF%86%CE%B5%CF%84%CE%AD%CF%81%CE%B9%CE%B1+%CE%A0%CE%B5%CF%8D%CE%BA%CE%B7/@38.059726999999995,23.797276699999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 72 reviews

Name: Kafeo
link: https://www.google.com/maps/search/Kafeo/@38.0593955,23.7933304?authuser=0&hl=zh-TW&entry=ttu
Reviews: 20 reviews",https://www.facebook.com/dizercafe/,Dizer (Ye Zhu ),https://www.google.com/maps/contrib/102452569463709732636,https://lh5.googleusercontent.com/p/AF1QipO5xOn8g84jz_73l69QE_SwTIo25N1-NGksgQOx=w408-h272-k-no,Ka Pei Ting ,"Ka Pei Ting , Zao Can Can Ting ",4.4,07:30-23:30,Open All Days,,"Dizer, Ir. Politechniou 2, Pefki 151 21Xi La ","Huan Jing , Zao Wu Can , Chou Yan , atmosphere, Zhuo , Sha La , Pin Zhi , Bing , San Ming Zhi ",https://www.google.com/maps/place/Dizer/data=!4m7!3m6!1s0x14a198cabe23475b:0x377f76d33c00944b!8m2!3d38.0598304!4d23.7885487!16s%2Fg%2F11clyzlvj6!19sChIJW0cjvsqYoRQRS5QAPNN2fzc?authuser=0&hl=zh-TW&rclk=1
ChIJHQFAIi6foRQRE4J4RRrzED4,SALTO MORTALE,,False,933,"Name: Alios
link: https://www.google.com/maps/search/Alios/@38.0588529,23.792231599999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 976 reviews

Name: Faltso
link: https://www.google.com/maps/search/Faltso/@38.055713499999996,23.8072522?authuser=0&hl=zh-TW&entry=ttu
Reviews: 821 reviews

Name: Tsipouradiko To Alliotiko Tou Bolou
link: https://www.google.com/maps/search/%CE%A4%CF%83%CE%B9%CF%80%CE%BF%CF%85%CF%81%CE%AC%CE%B4%CE%B9%CE%BA%CE%BF+%CE%A4%CE%BF+%CE%91%CE%BB%CE%BB%CE%B9%CF%8E%CF%84%CE%B9%CE%BA%CE%BF+%CE%A4%CE%BF%CF%85+%CE%92%CF%8C%CE%BB%CE%BF%CF%85/@38.065298299999995,23.7986209?authuser=0&hl=zh-TW&entry=ttu
Reviews: 606 reviews

Name: Salto
link: https://www.google.com/maps/search/Salto/@37.9436967,23.6479204?authuser=0&hl=zh-TW&entry=ttu
Reviews: 39 reviews",https://www.instagram.com/saltomortale_bar/,SALTO MORTALE (Ye Zhu ),https://www.google.com/maps/contrib/111238114513023512813,https://lh5.googleusercontent.com/p/AF1QipOjklQGsR8e-_iE0r7OplZk3vaw973bKRUFxdKs=w408-h544-k-no,Ji Wei Jiu Jiu Ba ,"Ji Wei Jiu Jiu Ba , Ka Pei Ting , Zheng Liu Ka Pei Ba ",4.6,08:00-02:00,Open All Days,+30 21 0805 6490,"SALTO MORTALE, Pindou 7, Pefki 151 21Xi La ","atmosphere, Jia Ge , Mian Ji ",https://www.google.com/maps/place/SALTO+MORTALE/data=!4m7!3m6!1s0x14a19f2e2240011d:0x3e10f31a45788213!8m2!3d38.0647326!4d23.79945!16s%2Fg%2F1pxq9fshd!19sChIJHQFAIi6foRQRE4J4RRrzED4?authuser=0&hl=zh-TW&rclk=1
ChIJP0S5mBSZoRQRTkpvEYHxeyc,Coffee Dose,,False,736,"Name: Coffee Berry Amarousiou
link: https://www.google.com/maps/search/Coffee+Berry+%CE%91%CE%BC%CE%B1%CF%81%CE%BF%CF%85%CF%83%CE%AF%CE%BF%CF%85/@38.0553907,23.804387?authuser=0&hl=zh-TW&entry=ttu
Reviews: 105 reviews

Name: Cultivos Coffee Marousi
link: https://www.google.com/maps/search/Cultivos+Coffee+Marousi/@38.0554564,23.8048351?authuser=0&hl=zh-TW&entry=ttu
Reviews: 75 reviews

Name: My Daily Dose
link: https://www.google.com/maps/search/My+Daily+Dose/@38.0301662,23.7141712?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: E-latte COFFEE & FOOD Marousi
link: https://www.google.com/maps/search/%CE%95-latte+COFFEE+%26+FOOD+%CE%9C%CE%B1%CF%81%CE%BF%CF%8D%CF%83%CE%B9/@38.047444999999996,23.8041728?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Odore coffee
link: https://www.google.com/maps/search/Odore+coffee/@38.0430534,23.827223399999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://www.facebook.com/coffeedosegr/,Coffee Dose (Ye Zhu ),https://www.google.com/maps/contrib/112859014015183685286,https://lh5.googleusercontent.com/p/AF1QipNZhxu_KhwZd_q-pZzgqA0-8lnOQvQTRvyensks=w408-h509-k-no,Ka Pei Ting ,Ka Pei Ting ,4.6,06:00-21:00,Open All Days,+30 21 0282 8850,"Coffee Dose, Leophoros Kumes, & Kolokotrone 149, Marousi 151 22Xi La ","San Ming Zhi , Tian Dian ",https://www.google.com/maps/place/Coffee+Dose/data=!4m7!3m6!1s0x14a1991498b9443f:0x277bf181116f4a4e!8m2!3d38.0479055!4d23.7826436!16s%2Fg%2F11g1pp0kgz!19sChIJP0S5mBSZoRQRTkpvEYHxeyc?authuser=0&hl=zh-TW&rclk=1
ChIJS3Jt3cqYoRQRUGZ_6jSf6ks,Venetis Food Hall,,False,655,"Name: VENETI FOOD HALL PSIRI
link: https://www.google.com/maps/search/VENETI+FOOD+HALL+PSIRI/@37.9788048,23.726510299999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 635 reviews

Name: Venetis S.A.
link: https://www.google.com/maps/search/Venetis+S.A./@38.070648999999996,23.787820099999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 308 reviews

Name: Veneti
link: https://www.google.com/maps/search/Veneti/@38.004419999999996,23.7758483?authuser=0&hl=zh-TW&entry=ttu
Reviews: 231 reviews

Name: VENETI M. & CO O.E.
link: https://www.google.com/maps/search/VENETI+M.+%26+CO+O.E./@38.053813399999996,23.797868899999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 192 reviews

Name: BENETE AGGELIKE
link: https://www.google.com/maps/search/%CE%92%CE%95%CE%9D%CE%95%CE%A4%CE%97+%CE%91%CE%93%CE%93%CE%95%CE%9B%CE%99%CE%9A%CE%97/@38.060182499999996,23.796532499999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 125 reviews",http://www.fournosveneti.gr/,Venetis Food Hall (Ye Zhu ),https://www.google.com/maps/contrib/101979837150183237186,https://lh5.googleusercontent.com/p/AF1QipOVhBQaB9RIL5YnMOJsS0LDbkx_5WvQ8p0rU74i=w408-h543-k-no,Mian Bao Xi Bing Dian ,"Mian Bao Xi Bing Dian , Ka Pei Dian , Xue Gao Dian , Gao Bing Dian , San Wen Zhi Dian ",4.1,06:00-22:00,Open All Days,+30 21 0805 6869,"Venetis Food Hall, Leof. Irinis 35, Pefki 151 21Xi La ",,https://www.google.com/maps/place/Venetis+Food+Hall/data=!4m7!3m6!1s0x14a198cadd6d724b:0x4bea9f34ea7f6650!8m2!3d38.059387!4d23.7893868!16s%2Fg%2F11ddyt30b4!19sChIJS3Jt3cqYoRQRUGZ_6jSf6ks?authuser=0&hl=zh-TW&rclk=1
ChIJ5UjDbuKZoRQROpXth48zbj4,Coffee Berry,,False,396,"Name: Coffee Berry Neo Erakleio
link: https://www.google.com/maps/search/Coffee+Berry+%CE%9D%CE%AD%CE%BF+%CE%97%CF%81%CE%AC%CE%BA%CE%BB%CE%B5%CE%B9%CE%BF/@38.0476738,23.760562399999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 701 reviews

Name: Coffee Island
link: https://www.google.com/maps/search/Coffee+Island/@38.0591425,23.794025299999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 357 reviews

Name: Mikel Coffee
link: https://www.google.com/maps/search/Mikel+Coffee/@38.0595737,23.7871676?authuser=0&hl=zh-TW&entry=ttu
Reviews: 143 reviews

Name: Coffee Berry Marousi-Green Plaza
link: https://www.google.com/maps/search/Coffee+Berry+Marousi-Green+Plaza/@38.046971,23.806182999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 99 reviews

Name: Coffee Berry Lukobruse
link: https://www.google.com/maps/search/Coffee+Berry+%CE%9B%CF%85%CE%BA%CF%8C%CE%B2%CF%81%CF%85%CF%83%CE%B7/@38.0700052,23.783959199999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 49 reviews",https://coffeeberry.coffee/,Coffee Berry (Ye Zhu ),https://www.google.com/maps/contrib/106013016040745074113,https://lh5.googleusercontent.com/p/AF1QipNF1Butdhbj6FWgG1qHvJBD-ih49WSzq8t31Bli=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,4.4,06:00-20:00,Open All Days,+30 21 6900 9050,"Coffee Berry, Leof. Irinis 16, Pefki 151 21Xi La ",,https://www.google.com/maps/place/Coffee+Berry/data=!4m7!3m6!1s0x14a199e26ec348e5:0x3e6e338f87ed953a!8m2!3d38.0594839!4d23.79439!16s%2Fg%2F11fd56lc03!19sChIJ5UjDbuKZoRQROpXth48zbj4?authuser=0&hl=zh-TW&rclk=1
ChIJOUpvf8iYoRQRFjjFJ_VyFXQ,Venetis,,False,370,"Name: PhOURNOS BENETE 1948 - PhILOThEE
link: https://www.google.com/maps/search/%CE%A6%CE%9F%CE%A5%CE%A1%CE%9D%CE%9F%CE%A3+%CE%92%CE%95%CE%9D%CE%95%CE%A4%CE%97+1948+-+%CE%A6%CE%99%CE%9B%CE%9F%CE%98%CE%95%CE%97/@38.0296483,23.780341099999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 630 reviews

Name: Phournos Benete
link: https://www.google.com/maps/search/%CE%A6%CE%BF%CF%8D%CF%81%CE%BD%CE%BF%CF%82+%CE%92%CE%B5%CE%BD%CE%AD%CF%84%CE%B7/@37.9426202,23.6480242?authuser=0&hl=zh-TW&entry=ttu
Reviews: 206 reviews

Name: VENETI M. & CO O.E.
link: https://www.google.com/maps/search/VENETI+M.+%26+CO+O.E./@38.053813399999996,23.797868899999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 192 reviews

Name: BENETE AGGELIKE
link: https://www.google.com/maps/search/%CE%92%CE%95%CE%9D%CE%95%CE%A4%CE%97+%CE%91%CE%93%CE%93%CE%95%CE%9B%CE%99%CE%9A%CE%97/@38.060182499999996,23.796532499999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 125 reviews

Name: Artopoieio BENETE
link: https://www.google.com/maps/search/%CE%91%CF%81%CF%84%CE%BF%CF%80%CE%BF%CE%B9%CE%B5%CE%AF%CE%BF+%CE%92%CE%95%CE%9D%CE%95%CE%A4%CE%97/@37.985164399999995,23.7307329?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews",http://www.fournosveneti.gr/,Venetis (Ye Zhu ),https://www.google.com/maps/contrib/110061160876411428023,https://lh5.googleusercontent.com/p/AF1QipPoZRNmIj9WEH8sDOzamz02vwECgpPWsY3Khvjj=w426-h240-k-no,Mian Bao Xi Bing Dian ,"Mian Bao Xi Bing Dian , Qiao Ke Li Gong Jiang , Ka Pei Dian , Dong Shuai Dian , Xue Gao Dian , Gao Bing Dian , Fa Shi Gao Bing Dian , San Wen Zhi Dian ",4,06:00-21:00,Open All Days,+30 21 0614 1895,"Venetis, Vironos 21, Pefki 151 21Xi La ",Ka Pei ,https://www.google.com/maps/place/Venetis/data=!4m7!3m6!1s0x14a198c87f6f4a39:0x741572f527c53816!8m2!3d38.0503872!4d23.7895972!16s%2Fg%2F11css0f5y7!19sChIJOUpvf8iYoRQRFjjFJ_VyFXQ?authuser=0&hl=zh-TW&rclk=1
ChIJFcRws8yYoRQR6yPQWDWLyZE,everest,,False,360,"Name: Throubi
link: https://www.google.com/maps/search/Throubi/@37.9773746,23.7282412?authuser=0&hl=zh-TW&entry=ttu
Reviews: 646 reviews

Name: everest
link: https://www.google.com/maps/search/everest/@38.091317499999995,23.756059?authuser=0&hl=zh-TW&entry=ttu
Reviews: 633 reviews

Name: Coffee Berry
link: https://www.google.com/maps/search/Coffee+Berry/@38.0594839,23.79439?authuser=0&hl=zh-TW&entry=ttu
Reviews: 396 reviews

Name: Mikel Coffee
link: https://www.google.com/maps/search/Mikel+Coffee/@38.0595737,23.7871676?authuser=0&hl=zh-TW&entry=ttu
Reviews: 143 reviews

Name: everest exclusive
link: https://www.google.com/maps/search/everest+exclusive/@38.0334801,23.7935961?authuser=0&hl=zh-TW&entry=ttu
Reviews: 34 reviews",http://www.everest.gr/,everest (Ye Zhu ),https://www.google.com/maps/contrib/100136740772133020582,https://lh5.googleusercontent.com/p/AF1QipPDz1OPJY0yNdvwS11NohuHY5QKMNF2NBOFE24A=w408-h272-k-no,San Wen Zhi Dian ,"San Wen Zhi Dian , Zao Can Can Ting , Ka Pei Dian , Kuai Can Dian ",4.3,05:00-22:30,Open All Days,+30 21 0806 8259,"everest, Leof. Irinis 18, Athina 151 21Xi La ",,https://www.google.com/maps/place/everest/data=!4m7!3m6!1s0x14a198ccb370c415:0x91c98b3558d023eb!8m2!3d38.0593945!4d23.793962!16s%2Fg%2F11fz9hyjd4!19sChIJFcRws8yYoRQR6yPQWDWLyZE?authuser=0&hl=zh-TW&rclk=1
ChIJn57qnsqYoRQRwWd2rNIwpP0,Coffee Island,,False,357,"Name: Alios
link: https://www.google.com/maps/search/Alios/@38.0588529,23.792231599999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 976 reviews

Name: Coffee Berry
link: https://www.google.com/maps/search/Coffee+Berry/@38.0594839,23.79439?authuser=0&hl=zh-TW&entry=ttu
Reviews: 396 reviews

Name: Carvel
link: https://www.google.com/maps/search/Carvel/@38.0592288,23.791683799999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 155 reviews

Name: Mikel Coffee
link: https://www.google.com/maps/search/Mikel+Coffee/@38.0595737,23.7871676?authuser=0&hl=zh-TW&entry=ttu
Reviews: 143 reviews

Name: Kafeo
link: https://www.google.com/maps/search/Kafeo/@38.0593955,23.7933304?authuser=0&hl=zh-TW&entry=ttu
Reviews: 20 reviews",https://www.coffeeisland.gr/%3Futm_campaign%3Dwebsite%26utm_medium%3Dorganic%26utm_source%3Dgoogle,Coffee Island (Ye Zhu ),https://www.google.com/maps/contrib/100526636815502711803,https://lh5.googleusercontent.com/p/AF1QipNrq7-Bpt_nRMFuLkMc_yZ8AZ-o6ZtHeSLnl9zB=w408-h272-k-no,Ka Pei Dian ,Ka Pei Dian ,4.4,06:00-21:00,Open All Days,+30 21 0614 3436,"Coffee Island, Leof. Irinis 15, Pefki 151 21Xi La ",,https://www.google.com/maps/place/Coffee+Island/data=!4m7!3m6!1s0x14a198ca9eea9e9f:0xfda430d2ac7667c1!8m2!3d38.0591425!4d23.7940253!16s%2Fg%2F1ptz2prws!19sChIJn57qnsqYoRQRwWd2rNIwpP0?authuser=0&hl=zh-TW&rclk=1
ChIJn8v_rsGZoRQRNdwKBdb2rCw,Gregores,,False,270,"Name: Dizer
link: https://www.google.com/maps/search/Dizer/@38.059830399999996,23.7885487?authuser=0&hl=zh-TW&entry=ttu
Reviews: 968 reviews

Name: Coffee Berry
link: https://www.google.com/maps/search/Coffee+Berry/@38.0594839,23.79439?authuser=0&hl=zh-TW&entry=ttu
Reviews: 396 reviews

Name: Mikel Coffee
link: https://www.google.com/maps/search/Mikel+Coffee/@38.0595737,23.7871676?authuser=0&hl=zh-TW&entry=ttu
Reviews: 143 reviews

Name: Gregorys
link: https://www.google.com/maps/search/Gregorys/@38.0282987,23.782737599999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 104 reviews

Name: Kafeo
link: https://www.google.com/maps/search/Kafeo/@38.0593955,23.7933304?authuser=0&hl=zh-TW&entry=ttu
Reviews: 20 reviews",http://www.gregorys.gr/,Gregores (Ye Zhu ),https://www.google.com/maps/contrib/112721374632162173712,https://lh5.googleusercontent.com/p/AF1QipNe5olPJ1XaTsiuv-HLTfdb86o3ZLmPdg3djDXI=w408-h306-k-no,Ka Pei Dian ,"Ka Pei Dian , Can Ting ",4.3,06:00-21:00,Open All Days,+30 21 3040 0400,"Gregores, Ioannou Apostolopoulou 1, Pefki 151 21Xi La ",,https://www.google.com/maps/place/%CE%93%CF%81%CE%B7%CE%B3%CF%8C%CF%81%CE%B7%CF%82/data=!4m7!3m6!1s0x14a199c1aeffcb9f:0x2cacf6d6050adc35!8m2!3d38.0593053!4d23.7883174!16s%2Fg%2F11gh2vx1w4!19sChIJn8v_rsGZoRQRNdwKBdb2rCw?authuser=0&hl=zh-TW&rclk=1
