place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ_xn9GbCLhhIReQwX-0vlB7s,Cofe le Platane,,False,1,"Name: PROVENCE GRILL/SNACK
link: https://www.google.com/maps/search/PROVENCE+GRILL%2FSNACK/@35.600238,1.8095488000000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 11 reviews

Name: Alia food pizzeria et cafeteria
link: https://www.google.com/maps/search/Alia+food+pizzeria+et+caf%C3%A9t%C3%A9ria/@35.60342,1.8099146?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Cofee saada
link: https://www.google.com/maps/search/Cofee+sa%C3%A3da/@35.6020833,1.8150712000000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Coffe Time
link: https://www.google.com/maps/search/Coffe+Time/@35.6018894,1.8093434999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://ww.kimo38.dz.com/,Cofe le Platane (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipN7VEujBKCHFYZf3oHTVFx_O9onIydp7UHTUUMi=w408-h531-k-no,Ka Pei Ting ,Ka Pei Ting ,3,,Open All Days,,"JR46+GVR Cofe le Platane, Rue 89, Tissemsilt, A Er Ji Li Ya ",,https://www.google.com/maps/place/Cof%C3%A9+le+Platane/data=!4m7!3m6!1s0x12868bb019fd19ff:0xbb07e54bfb170c79!8m2!3d35.6063666!4d1.8121524!16s%2Fg%2F11frf4qcqr!19sChIJ_xn9GbCLhhIReQwX-0vlB7s?authuser=0&hl=zh-TW&rclk=1
ChIJff7RoqeLhhIRtCK3TbRKg34,khym@ lwnys llshy wlmksrt,,False,8,"Name: qhw@ kb@ coffee Kaba
link: https://www.google.com/maps/search/%D9%82%D9%87%D9%88%D8%A9+%D9%83%D8%A7%D8%A8%D8%A9+coff%C3%A9e+Kaba/@35.6062949,1.8093626999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Mellouk
link: https://www.google.com/maps/search/Mellouk/@35.6083125,1.8069119999999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: khym@ l'drry
link: https://www.google.com/maps/search/%D8%AE%D9%8A%D9%85%D8%A9+%D8%A7%D9%84%D8%A3%D8%AF%D8%B1%D8%A7%D8%B1%D9%8A/@35.608805,1.810474?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: El Widad food
link: https://www.google.com/maps/search/El+Widad+food/@35.6058182,1.8083384999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,khym@ lwnys llshy wlmksrt (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMzDwBgXVbXi9H-wsp97iu57Ljez4njDoiE1tqQ=w426-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.6,,Open All Days,+213 661 19 18 82,"JQ4W+4HW khym@ lwnys llshy wlmksrt, N14, Tissemsilt, A Er Ji Li Ya ",,https://www.google.com/maps/place/%D8%AE%D9%8A%D9%85%D8%A9+%D8%A7%D9%84%D9%88%D9%86%D9%8A%D8%B3+%D9%84%D9%84%D8%B4%D8%A7%D9%8A+%D9%88%D8%A7%D9%84%D9%85%D9%83%D8%B3%D8%B1%D8%A7%D8%AA%E2%80%AD/data=!4m7!3m6!1s0x12868ba7a2d1fe7d:0x7e834ab44db722b4!8m2!3d35.6053601!4d1.7964593!16s%2Fg%2F11lgn1gfzq!19sChIJff7RoqeLhhIRtCK3TbRKg34?authuser=0&hl=zh-TW&rclk=1
ChIJJ9f3kvmLhhIRusegSXIcDyg,swbyrt lHj mhny Sdq,,False,6,"Name: swbyrt sHq
link: https://www.google.com/maps/search/%D8%B3%D9%88%D8%A8%D9%8A%D8%B1%D8%A7%D8%AA+%D8%A5%D8%B3%D8%AD%D8%A7%D9%82/@35.6021155,1.7772569?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: bql@ lHj lThr
link: https://www.google.com/maps/search/%D8%A8%D9%82%D8%A7%D9%84%D8%A9+%D8%A7%D9%84%D8%AD%D8%A7%D8%AC+%D8%A7%D9%84%D8%B7%D8%A7%D9%87%D8%B1/@35.5931888,1.8284158?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Superette Boukhana
link: https://www.google.com/maps/search/Sup%C3%A9rette+Boukhana/@35.5954607,1.8033385000000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: mHl mwd Gdhy'y@
link: https://www.google.com/maps/search/%D9%85%D8%AD%D9%84+%D9%85%D9%88%D8%A7%D8%AF+%D8%BA%D8%B0%D8%A7%D8%A6%D9%8A%D8%A9/@35.60968,1.8046860999999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,swbyrt lHj mhny Sdq (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOLJM5RdDCzX2bzmmD9Tn5i71Hmkvt0SAHmss0v=w408-h306-k-no,Bian Li Dian ,Bian Li Dian ,5,24 Xiao Shi Ying Ye ,Open All Days,,"HRV9+JWC swbyrt lHj mhny Sdq, Tissemsilt, A Er Ji Li Ya ",,https://www.google.com/maps/place/%D8%B3%D9%88%D8%A8%D9%8A%D8%B1%D8%A7%D8%AA+%D8%A7%D9%84%D8%AD%D8%A7%D8%AC+%D9%85%D9%87%D9%86%D9%8A+%D8%B5%D8%A7%D8%AF%D9%82%E2%80%AD/data=!4m7!3m6!1s0x12868bf992f7d727:0x280f1c7249a0c7ba!8m2!3d35.5940665!4d1.8197732!16s%2Fg%2F11m_zp5cbj!19sChIJJ9f3kvmLhhIRusegSXIcDyg?authuser=0&hl=zh-TW&rclk=1
ChIJYdQAw1uLhhIRq5CHUVujC7E,mqh~ mHT@ nfTl,,False,5,"Name: Naftal
link: https://www.google.com/maps/search/Naftal/@35.6025847,1.7960383000000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews

Name: mqh~ lHy
link: https://www.google.com/maps/search/%D9%85%D9%82%D9%87%D9%89+%D8%A7%D9%84%D8%AD%D9%8A/@35.6103112,1.8176671999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Cafe
link: https://www.google.com/maps/search/Caf%C3%A9/@35.614341599999996,1.8083737999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,mqh~ mHT@ nfTl (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMm9UAejfwT9RREAIu_0Xyt6jlfwrofMXuOdU9j=w454-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,3.8,,Open All Days,,"JR7F+9FW mqh~ mHT@ nfTl, Tissemsilt 38000A Er Ji Li Ya ",,https://www.google.com/maps/place/%D9%85%D9%82%D9%87%D9%89+%D9%85%D8%AD%D8%B7%D8%A9+%D9%86%D9%81%D8%B7%D8%A7%D9%84%E2%80%AD/data=!4m7!3m6!1s0x12868b5bc300d461:0xb10ba35b518790ab!8m2!3d35.6134845!4d1.8236953!16s%2Fg%2F11h2g4cx6x!19sChIJYdQAw1uLhhIRq5CHUVujC7E?authuser=0&hl=zh-TW&rclk=1
ChIJf04OLWmKhhIRHv3lhJJJdIE,Salon de the,,False,5,"Name: Cafeteria Baroud
link: https://www.google.com/maps/search/Caf%C3%A9teria+Baroud/@35.6082618,1.8114175?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Cafe
link: https://www.google.com/maps/search/Caf%C3%A9/@35.614341599999996,1.8083737999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Cafeteria la province
link: https://www.google.com/maps/search/Caf%C3%A9t%C3%A9ria+la+province/@35.608618899999996,1.8067305?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Cafe expres
link: https://www.google.com/maps/search/Caf%C3%A9+expres/@35.5998218,1.8184095999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Salon de the (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipM_K_3rZdOd_ML175iW8iOxpxZWAmoUoVxy8VtY=w533-h240-k-no,Cha Yi Guan ,Cha Yi Guan ,3.6,,Open All Days,,"JR68+3R3 Salon de the, Tissemsilt, A Er Ji Li Ya ",,https://www.google.com/maps/place/Salon+de+th%C3%A9/data=!4m7!3m6!1s0x12868a692d0e4e7f:0x8174499284e5fd1e!8m2!3d35.6101251!4d1.8170382!16s%2Fg%2F11dyp0gtgp!19sChIJf04OLWmKhhIRHv3lhJJJdIE?authuser=0&hl=zh-TW&rclk=1
ChIJ_Tf1imeKhhIR-ahxg4oVIq4,coffee Wiam,,False,5,"Name: Coffee Montana
link: https://www.google.com/maps/search/Coffee+Montana/@35.6009737,1.8098606?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,coffee Wiam (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipP88qwLfKMuYgVfFzhOxcbABfnGYyfJ5OH9caXB=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4,,Open All Days,,"JR46+5X3 coffee Wiam, Tissemsilt, A Er Ji Li Ya ",,https://www.google.com/maps/place/coff%C3%A9e+Wiam/data=!4m7!3m6!1s0x12868a678af537fd:0xae22158a8371a8f9!8m2!3d35.6053791!4d1.8124109!16s%2Fg%2F11dyn_mfmz!19sChIJ_Tf1imeKhhIR-ahxg4oVIq4?authuser=0&hl=zh-TW&rclk=1
ChIJYbMaYL2ShhIRosgRDQLqWdQ,mqhy lfrsn,,False,5,"Name: khym@ lwnys llshy wlmksrt
link: https://www.google.com/maps/search/%D8%AE%D9%8A%D9%85%D8%A9+%D8%A7%D9%84%D9%88%D9%86%D9%8A%D8%B3+%D9%84%D9%84%D8%B4%D8%A7%D9%8A+%D9%88%D8%A7%D9%84%D9%85%D9%83%D8%B3%D8%B1%D8%A7%D8%AA/@35.6053601,1.7964593000000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: Cofee saada
link: https://www.google.com/maps/search/Cofee+sa%C3%A3da/@35.6020833,1.8150712000000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: mT`m smyr
link: https://www.google.com/maps/search/%D9%85%D8%B7%D8%B9%D9%85+%D8%B3%D9%85%D9%8A%D8%B1/@35.6017912,1.8062881?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,mqhy lfrsn (Ye Zhu ),,,Ka Pei Ting ,Ka Pei Ting ,4.4,,Open All Days,,"HMG7+JV6 mqhy lfrsn, Ammari, A Er Ji Li Ya ",,https://www.google.com/maps/place/%D9%85%D9%82%D9%87%D9%8A+%D8%A7%D9%84%D9%81%D8%B1%D8%B3%D8%A7%D9%86%E2%80%AD/data=!4m7!3m6!1s0x128692bd601ab361:0xd459ea020d11c8a2!8m2!3d35.576532!4d1.6646309!16s%2Fg%2F11fx_3vz0j!19sChIJYbMaYL2ShhIRosgRDQLqWdQ?authuser=0&hl=zh-TW&rclk=1
ChIJbece0FyKhhIRR2nbqkXNiIc,qhw@ kb@ coffee Kaba,,False,4,"Name: khym@ lwnys llshy wlmksrt
link: https://www.google.com/maps/search/%D8%AE%D9%8A%D9%85%D8%A9+%D8%A7%D9%84%D9%88%D9%86%D9%8A%D8%B3+%D9%84%D9%84%D8%B4%D8%A7%D9%8A+%D9%88%D8%A7%D9%84%D9%85%D9%83%D8%B3%D8%B1%D8%A7%D8%AA/@35.6053601,1.7964593000000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: Said coffee
link: https://www.google.com/maps/search/Said+coffee/@35.6026003,1.8063846?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Cofee saada
link: https://www.google.com/maps/search/Cofee+sa%C3%A3da/@35.6020833,1.8150712000000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Coffe Time
link: https://www.google.com/maps/search/Coffe+Time/@35.6018894,1.8093434999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,qhw@ kb@ coffee Kaba (Ye Zhu ),,,Ka Pei Ting ,Ka Pei Ting ,5,,Open All Days,,"JR45+GP9 qhw@ kb@ coffee Kaba, Rue 89, Tissemsilt, A Er Ji Li Ya ",,https://www.google.com/maps/place/%D9%82%D9%87%D9%88%D8%A9+%D9%83%D8%A7%D8%A8%D8%A9+coff%C3%A9e+Kaba%E2%80%AD/data=!4m7!3m6!1s0x12868a5cd01ee76d:0x8788cd45aadb6947!8m2!3d35.6062949!4d1.8093627!16s%2Fg%2F11c7w0qqd8!19sChIJbece0FyKhhIRR2nbqkXNiIc?authuser=0&hl=zh-TW&rclk=1
ChIJ1V8alkKKhhIR2lleQVQWCTE,Cafeteria Baroud,,False,4,"Name: mqh~ bwrkhl@
link: https://www.google.com/maps/search/%D9%85%D9%82%D9%87%D9%89+%D8%A8%D9%88%D8%B1%D8%AE%D9%84%D8%A9/@35.6069078,1.8092655?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Cafe
link: https://www.google.com/maps/search/Caf%C3%A9/@35.614341599999996,1.8083737999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Coffee Montana
link: https://www.google.com/maps/search/Coffee+Montana/@35.6009737,1.8098606?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Cafeteria Baroud (Ye Zhu ),,,Ka Pei Dian ,Ka Pei Dian ,5,24 Xiao Shi Ying Ye ,Open All Days,+213 770 65 76 70,"JR56+8H3 Cafeteria Baroud, Tissemsilt, A Er Ji Li Ya ",,https://www.google.com/maps/place/Caf%C3%A9teria+Baroud/data=!4m7!3m6!1s0x12868a42961a5fd5:0x31091654415e59da!8m2!3d35.6082618!4d1.8114175!16s%2Fg%2F11c6v6j4c3!19sChIJ1V8alkKKhhIR2lleQVQWCTE?authuser=0&hl=zh-TW&rclk=1
ChIJe13dQsOLhhIRhmE1VY_guFk,Coffee Adem,,False,4,"Name: Said coffee
link: https://www.google.com/maps/search/Said+coffee/@35.6026003,1.8063846?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Cofee saada
link: https://www.google.com/maps/search/Cofee+sa%C3%A3da/@35.6020833,1.8150712000000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Coffe Time
link: https://www.google.com/maps/search/Coffe+Time/@35.6018894,1.8093434999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: One eleven tissemsilt
link: https://www.google.com/maps/search/One+eleven+tissemsilt/@35.6017309,1.8097565?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Coffee Adem (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOkkt-qEbovpmFabhaITiTU1ZL2hd_qhaVqxGfl=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4.8,05:00-20:00,Open All Days,,"JR54+H7V Coffee Adem, Rue 18, Tissemsilt, A Er Ji Li Ya ",,https://www.google.com/maps/place/Coff%C3%A9e+Adem/data=!4m7!3m6!1s0x12868bc342dd5d7b:0x59b8e08f55356186!8m2!3d35.6089994!4d1.8056695!16s%2Fg%2F11pklvr8t6!19sChIJe13dQsOLhhIRhmE1VY_guFk?authuser=0&hl=zh-TW&rclk=1
