place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ21Q4H4b4pzsRHkDVLhRiSiQ,Cafe Coffee Day,,False,1934,"Name: The Pie Shop
link: https://www.google.com/maps/search/The+Pie+Shop/@10.311850900000001,76.3444277?authuser=0&hl=zh-TW&entry=ttu
Reviews: 129 reviews

Name: R3 Cafe
link: https://www.google.com/maps/search/R3+Cafe/@10.3079916,76.33304430000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 17 reviews

Name: Ccd
link: https://www.google.com/maps/search/Ccd/@10.5398538,76.19203499999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://potta.cafecoffeeday.com/,Cafe Coffee Day (Ye Zhu ),https://www.google.com/maps/contrib/103256343751452919315,https://lh5.googleusercontent.com/p/AF1QipPXdwNpGZyOQzRRu1LQxcUaxY2F6JE5Ljuuot6A=w408-h300-k-no,Ka Pei Ting ,"Ka Pei Ting , Ka Pei Dian , Wai Mai Zi Qu Can Ting , Gao Bing Dian , Can Ting , San Wen Zhi Dian ",4,09:00-02:00,Open All Days,+91 1800 102 5093,"Cafe Coffee Day, Mukundapuram, near Maruti Suzuki Arena, Chalakudy, Potta, Kerala 680722Yin Du ","Gao Su Gong Lu , Pin Zhi , atmosphere, Qing Jie , Ke Fu , Ting Che Wei , Qia Bu Qi Nuo , outlet, Ce Suo , Liao Tian ",https://www.google.com/maps/place/Caf%C3%A9+Coffee+Day/data=!4m7!3m6!1s0x3ba7f8861f3854db:0x244a62142ed5401e!8m2!3d10.3357879!4d76.3217874!16s%2Fg%2F11c30v92y8!19sChIJ21Q4H4b4pzsRHkDVLhRiSiQ?authuser=0&hl=zh-TW&rclk=1
ChIJQ3WeqUECCDsR7T3xtDw4TRI,Dessi Cuppa,,False,553,"Name: WOFFLEDAY Chalakudy
link: https://www.google.com/maps/search/WOFFLEDAY+Chalakudy/@10.3025135,76.3362525?authuser=0&hl=zh-TW&entry=ttu
Reviews: 566 reviews

Name: Avil Shakes and Grill
link: https://www.google.com/maps/search/Avil+Shakes+and+Grill/@10.310786499999999,76.3353557?authuser=0&hl=zh-TW&entry=ttu
Reviews: 109 reviews

Name: Mathews Coffee House & Cool Bar
link: https://www.google.com/maps/search/Mathews+Coffee+House+%26+Cool+Bar/@10.3068289,76.33807089999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",http://dessicuppahyd.com/,Dessi Cuppa (Ye Zhu ),https://www.google.com/maps/contrib/104209312118020838962,https://lh5.googleusercontent.com/p/AF1QipMVmNtlGIm2NX-tAoylqwVw10AjObwCnOsB2ia7=w533-h240-k-no,Ka Pei Ting ,"Ka Pei Ting , Guo Zhi Dian ",3.7,11:00-00:00,Open All Days,+91 89430 32306,"Dessi Cuppa, South Junction, South Chalakudy, Chalakudy, Kerala 680307Yin Du ","Nai Xi , Guo Zhi , Sha Wei Ma , Bing Qi Lin , Pin Zhi , Shu Liang , mocktail, Qian ",https://www.google.com/maps/place/Dessi+Cuppa/data=!4m7!3m6!1s0x3b080241a99e7543:0x124d383cb4f13ded!8m2!3d10.3010107!4d76.3372569!16s%2Fg%2F11fy4m7c82!19sChIJQ3WeqUECCDsR7T3xtDw4TRI?authuser=0&hl=zh-TW&rclk=1
ChIJLQwaOnsDCDsRLgWIRBCatVQ,Signature Art Cafe,,False,522,"Name: Kattanum Puttum
link: https://www.google.com/maps/search/Kattanum+Puttum/@10.2970326,76.337407?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1228 reviews

Name: Burger Nest Chalakudy
link: https://www.google.com/maps/search/Burger+Nest+Chalakudy/@10.3029726,76.33583689999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 719 reviews

Name: Little Bites coffee shop
link: https://www.google.com/maps/search/Little+Bites+coffee+shop/@10.2976048,76.3373713?authuser=0&hl=zh-TW&entry=ttu
Reviews: 416 reviews

Name: R3 Cafe
link: https://www.google.com/maps/search/R3+Cafe/@10.3079916,76.33304430000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 17 reviews",https://instagram.com/signatureartcafe,Signature Art Cafe (Ye Zhu ),https://www.google.com/maps/contrib/117830079636064612482,https://lh5.googleusercontent.com/p/AF1QipP9yw2N5otLD0M7muRbQlYn1tkS3Q48f9ZZXTAk=w408-h291-k-no,Han Bao Can Ting ,"Han Bao Can Ting , Yi Lang Ka Pei Ting , Jiu Dian , Xue Gao Dian , Guo Zhi Dian ",4.2,,Open All Days,+91 85938 80055,"Signature Art Cafe, SH19, South Junction, South Chalakudy, Chalakudy, Kerala 680307Yin Du ","Jia Ge , Nai Xi , Shu Liang , Kong Jian , Ji Rou San Ming Zhi , Ma Ke Bei , Qing Ning , Sha Wei Ma , Xiang Liao ",https://www.google.com/maps/place/Signature+Art+Caf%C3%A9/data=!4m7!3m6!1s0x3b08037b3a1a0c2d:0x54b59a104488052e!8m2!3d10.2997431!4d76.3368258!16s%2Fg%2F11g0kfmvb8!19sChIJLQwaOnsDCDsRLgWIRBCatVQ?authuser=0&hl=zh-TW&rclk=1
ChIJ2eILP6EDCDsRVvX3D1bsET0,Indian Coffee House - Chalakudy,,False,381,"Name: Indian Coffee House Koratty
link: https://www.google.com/maps/search/Indian+Coffee+House+Koratty/@10.259615499999999,76.3603895?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5022 reviews

Name: Indian Coffee House - Kodakara
link: https://www.google.com/maps/search/Indian+Coffee+House+-+Kodakara/@10.3814807,76.2959013?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3869 reviews

Name: Indian Coffee House - Angamaly
link: https://www.google.com/maps/search/Indian+Coffee+House+-+Angamaly/@10.1762214,76.3755446?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2945 reviews

Name: Mathews Coffee House & Cool Bar
link: https://www.google.com/maps/search/Mathews+Coffee+House+%26+Cool+Bar/@10.3068289,76.33807089999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Govt. Of India Press Dispensary, Koratty
link: https://www.google.com/maps/search/Govt.+Of+India+Press+Dispensary%2C+Koratty/@10.271633099999999,76.3511639?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.indiancoffeehouse.com/,Indian Coffee House - Chalakudy (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMZDbAldBgGDz6d3iPsKwEEchoEetCyJgeqStsl=w408-h306-k-no,Can Ting ,"Can Ting , Ka Pei Dian , Nan Yin Du Can Ting ",4.1,07:00-22:00,Open All Days,+91 487 233 5275,"78QP+QRG Indian Coffee House - Chalakudy, Chalakudy - Meloor Rd, Chalakudy, Muringur Vadakkummuri, Kerala 680309Yin Du ","Ting Che , Rou Kuai , Gao Su Gong Lu , Jia Ge , Qing Jie ",https://www.google.com/maps/place/Indian+Coffee+House+-+Chalakudy/data=!4m7!3m6!1s0x3b0803a13f0be2d9:0x3d11ec560ff7f556!8m2!3d10.2894351!4d76.3370888!16s%2Fg%2F11sjk1cw7l!19sChIJ2eILP6EDCDsRVvX3D1bsET0?authuser=0&hl=zh-TW&rclk=1
ChIJSwxfE0cCCDsRMErdYUaOuP8,JOHNSON COFFEE & TEA COMPANY,,False,10,"Name: JOHNSON COFFEE AND TEA STORES
link: https://www.google.com/maps/search/JOHNSON+COFFEE+AND+TEA+STORES/@10.3057483,76.3391111?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews

Name: T.P Johnson
link: https://www.google.com/maps/search/T.P+Johnson/@10.305576,76.338863?authuser=0&hl=zh-TW&entry=ttu
Reviews: 11 reviews

Name: Sandhya's coffee shop
link: https://www.google.com/maps/search/Sandhya%27s+coffee+shop/@10.2971522,76.3378645?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",https://www.facebook.com/johnsoncoffeeandteacompany/,JOHNSON COFFEE & TEA COMPANY (Ye Zhu ),https://www.google.com/maps/contrib/106403573160016845661,https://lh5.googleusercontent.com/p/AF1QipMAVTL--Y1fabMYgcLeOb48SCdpyLKY5neHO1NU=w408-h408-k-no,Ka Pei Pi Fa Shang ,"Ka Pei Pi Fa Shang , Cha Pi Fa Shang ",4.7,09:00-17:00,Xing Qi Ri ,+91 98462 02145,"JOHNSON COFFEE & TEA COMPANY, Palace Rd, Chalakudy, Kerala 680307Yin Du ",,https://www.google.com/maps/place/JOHNSON+COFFEE+%26+TEA+COMPANY/data=!4m7!3m6!1s0x3b080247135f0c4b:0xffb88e4661dd4a30!8m2!3d10.2967055!4d76.3390407!16s%2Fg%2F11ckh5zjff!19sChIJSwxfE0cCCDsRMErdYUaOuP8?authuser=0&hl=zh-TW&rclk=1
ChIJU-9Z10YCCDsRiElLm7DCovI,Little Bites coffee shop,,False,416,"Name: OCTOPUS PORK CAFE
link: https://www.google.com/maps/search/OCTOPUS+PORK+CAFE/@10.312481,76.3375622?authuser=0&hl=zh-TW&entry=ttu
Reviews: 608 reviews

Name: Signature Art Cafe
link: https://www.google.com/maps/search/Signature+Art+Caf%C3%A9/@10.299743099999999,76.3368258?authuser=0&hl=zh-TW&entry=ttu
Reviews: 522 reviews

Name: R3 Cafe
link: https://www.google.com/maps/search/R3+Cafe/@10.3079916,76.33304430000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 17 reviews",,Little Bites coffee shop (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipO-l36LIj2wIIQW1l5BovEmC_qO3EgG6k435khZ=w408-h306-k-no,Ka Pei Dian ,"Ka Pei Dian , Wu Jiu Jing Yin Liao Dian ",4.2,24 Xiao Shi Ying Ye ,Open All Days,+91 94474 35290,"Little Bites coffee shop, N.H - 47, Near Over Bridge, Chalakudy, Thrissur, Kerala 680307Yin Du ","Xiao Chi , Cha Dian , Wan Shang , Bo He , Ou Mu Dan ",https://www.google.com/maps/place/Little+Bites+coffee+shop/data=!4m7!3m6!1s0x3b080246d759ef53:0xf2a2c2b09b4b4988!8m2!3d10.2976048!4d76.3373713!16s%2Fg%2F11bv2ly6g0!19sChIJU-9Z10YCCDsRiElLm7DCovI?authuser=0&hl=zh-TW&rclk=1
ChIJxQ9P1BoCCDsRuW3Svmk72ak,Sheethal Coffee House Chalakkudy,,False,30,"Name: Little Bites coffee shop
link: https://www.google.com/maps/search/Little+Bites+coffee+shop/@10.2976048,76.3373713?authuser=0&hl=zh-TW&entry=ttu
Reviews: 416 reviews

Name: R3 Cafe
link: https://www.google.com/maps/search/R3+Cafe/@10.3079916,76.33304430000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 17 reviews",,Sheethal Coffee House Chalakkudy (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMI7Bg438NReL1OOdSXeN5kZY2Wy037lWRHNAYQ=w408-h544-k-no,Ka Pei Ting ,"Ka Pei Ting , Ka Pei Dian ",4,08:30-21:00,Open All Days,,"8983+4W9 Sheethal Coffee House Chalakkudy, SH21, Chalakudy, Elanjipra, Kerala 680721Yin Du ",,https://www.google.com/maps/place/Sheethal+Coffee+House+Chalakkudy/data=!4m7!3m6!1s0x3b08021ad44f0fc5:0xa9d93b69bed26db9!8m2!3d10.3152854!4d76.3548487!16s%2Fg%2F1hff2t0xc!19sChIJxQ9P1BoCCDsRuW3Svmk72ak?authuser=0&hl=zh-TW&rclk=1
ChIJjffO6WoCCDsRTRmkaqxlcYY,JOHNSON COFFEE AND TEA STORES,,False,12,"Name: JOHNSON COFFEE & TEA COMPANY
link: https://www.google.com/maps/search/JOHNSON+COFFEE+%26+TEA+COMPANY/@10.2967055,76.3390407?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews

Name: Sandhya's coffee shop
link: https://www.google.com/maps/search/Sandhya%27s+coffee+shop/@10.2971522,76.3378645?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Geethanjali
link: https://www.google.com/maps/search/Geethanjali/@10.3076625,76.3373665?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,JOHNSON COFFEE AND TEA STORES (Ye Zhu ),https://www.google.com/maps/contrib/105677988180427924088,https://lh5.googleusercontent.com/p/AF1QipPGeBlvpy2kf29_LFhgV0IGLFQyCS0bZbCc36So=w456-h240-k-no,Ka Pei Pi Fa Shang ,"Ka Pei Pi Fa Shang , Ka Pei Hong Bei Shang , FMCG manufacturer, Cha Pi Fa Shang ",4.6,08:00-20:00,Xing Qi Ri ,+91 89434 81318,"JOHNSON COFFEE AND TEA STORES, Municipal Building, A11,A16, Market Rd, Chalakudy, Kerala 680307Yin Du ",,https://www.google.com/maps/place/JOHNSON+COFFEE+AND+TEA+STORES/data=!4m7!3m6!1s0x3b08026ae9cef78d:0x867165ac6aa4194d!8m2!3d10.3057483!4d76.3391111!16s%2Fg%2F12lkwd3kv!19sChIJjffO6WoCCDsRTRmkaqxlcYY?authuser=0&hl=zh-TW&rclk=1
ChIJk8igUF0DCDsRoeCViV-kvto,Mini cafe,,False,12,"Name: The Pie Shop
link: https://www.google.com/maps/search/The+Pie+Shop/@10.311850900000001,76.3444277?authuser=0&hl=zh-TW&entry=ttu
Reviews: 129 reviews

Name: R3 Cafe
link: https://www.google.com/maps/search/R3+Cafe/@10.3079916,76.33304430000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 17 reviews

Name: Milma Shopee Chalakudy
link: https://www.google.com/maps/search/Milma+Shopee+Chalakudy/@10.307663,76.3372668?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: CAFE WINGS
link: https://www.google.com/maps/search/CAFE+WINGS/@10.3141839,76.3290655?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",,Mini cafe (Ye Zhu ),https://www.google.com/maps/contrib/118203046739799466793,https://lh5.googleusercontent.com/p/AF1QipNoTObmQXvQFfW7oUm4-bdFqj7C_gcxXF7oIbjT=w408-h472-k-no,Can Ting ,Can Ting ,3.8,08:00-21:30,Open All Days,,"Mini cafe, bus stand, North, Anamala Junction, Chalakudy, Kerala 680307Yin Du ",,https://www.google.com/maps/place/Mini+cafe/data=!4m7!3m6!1s0x3b08035d50a0c893:0xdabea45f8995e0a1!8m2!3d10.3088503!4d76.3383166!16s%2Fg%2F11gwh6yf86!19sChIJk8igUF0DCDsRoeCViV-kvto?authuser=0&hl=zh-TW&rclk=1
ChIJkwd-h2wCCDsRVyl8J08MuLM,Megha Coffee House & Cool Bar,,False,11,"Name: The Pie Shop
link: https://www.google.com/maps/search/The+Pie+Shop/@10.311850900000001,76.3444277?authuser=0&hl=zh-TW&entry=ttu
Reviews: 129 reviews

Name: Alpha Bakery Cool Bar
link: https://www.google.com/maps/search/Alpha+Bakery+Cool+Bar/@10.308238,76.338306?authuser=0&hl=zh-TW&entry=ttu
Reviews: 13 reviews

Name: Milma Shopee Chalakudy
link: https://www.google.com/maps/search/Milma+Shopee+Chalakudy/@10.307663,76.3372668?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Mariyas Kerala Coffee House & Cooling Parlour
link: https://www.google.com/maps/search/Mariyas+Kerala+Coffee+House+%26+Cooling+Parlour/@10.3070829,76.338664?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Megha Coffee House & Cool Bar (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipODa_I6wtuXMk0YoXK1u7YPKjNIl5TUvqUqACrG=w408-h357-k-no,Mian Bao Xi Bing Dian ,"Mian Bao Xi Bing Dian , Ka Pei Dian , Wu Jiu Jing Yin Liao Dian ",3.8,09:00-20:15,Open All Days,+91 98464 78395,"885Q+W35 Megha Coffee House & Cool Bar, Main Road, Chalakudy, Thrissur, Kerala 680301Yin Du ","Nai Xi , Guo Zhi ",https://www.google.com/maps/place/Megha+Coffee+House+%26+Cool+Bar/data=!4m7!3m6!1s0x3b08026c877e0793:0xb3b80c4f277c2957!8m2!3d10.3097748!4d76.3377312!16s%2Fg%2F11bv1m0f8x!19sChIJkwd-h2wCCDsRVyl8J08MuLM?authuser=0&hl=zh-TW&rclk=1
